scenario,t,S,bs_delta,balance
154,1,90.24795696267559,0,-0.03781013187810878
155,1,89.45247032537458,0,-0.07049611982455062
156,1,127.61506937279017,1,27.54418505604053
157,1,65.64183317269179,0,0.09538823690886389
158,1,134.27953770571287,1,34.48005370472232
159,1,101.41113109316706,1,1.8964429620469563
160,1,116.35566943525286,1,16.34619168544677
161,1,118.93700130450924,1,19.1639665908804
162,1,98.74763068860807,0,0.3700515043981998
163,1,100.9067836371953,1,0.969668360117562
164,1,107.54756095997055,1,7.420303547533528
165,1,144.04551650074816,1,44.198427268350535
166,1,141.3783055332829,1,41.39394620870965
167,1,96.86812828104534,0,0.23047860251130192
168,1,88.47662023168495,0,-0.1443513604421991
169,1,105.45109035119611,1,5.643485594193542
170,1,100.88369861195528,1,0.8742949362014283
171,1,85.1102074075604,0,-0.4349701964982593
172,1,65.69683363448294,0,-0.07757701480126755
173,1,147.5120078728508,1,47.24943973637965
174,1,100.56251441780464,1,0.48754102890859397
175,1,112.14611650374874,1,12.505348655383672
176,1,115.63391626642712,1,15.49526334860938
177,1,93.96446646224449,0,0.2597403931257638
178,1,102.31537144107179,1,2.506000963717195
179,1,96.2982564116035,0,-0.19821900986718255
180,1,88.25205973223423,0,0.11827604879837939
181,1,82.47631101409725,0,-0.03516349067185054
182,1,108.63452407427252,1,8.562306182187129
183,1,76.39067811082762,0,-0.057492160702123485
184,1,115.57943737738015,1,15.52962414550699
185,1,70.47442510083877,0,-0.0123830048275968
186,1,113.16150448187663,1,13.274423605816771
187,1,95.13923755808668,0,-0.039327410318341194
188,1,70.88189915507533,0,0.00331444855386831
189,1,137.23775935713738,1,37.32653981017311
190,1,123.80995601978628,1,23.637501189389603
191,1,123.11963826916563,1,22.679158305188466
192,1,84.32660720301615,0,-0.17168159250512893
193,1,46.25748565175929,0,0.020836138098532686
194,1,98.35178920063076,0,-0.3274107917236009
195,1,103.93224207004343,1,3.5269293804316746
196,1,115.98627345363357,1,16.27849031497623
197,1,104.0491262734534,1,4.181713547071755
198,1,93.93947060861852,0,-0.08738027567775752
199,1,97.4367439213663,0,0.05697116400892721
200,1,84.41667993222173,0,0.133591200807766
