x,sp500_density,norm_density,t_density
-0.06599999999999999,9.317626896507792e-4,0.005064208875919042,0.11261570799182359
-0.06549999999999999,0.0021422141133425163,0.005745560064621222,0.11664516150267662
-0.06499999999999999,0.004602230392802756,0.006512418916281922,0.12084295216585773
-0.06449999999999999,0.009258025925896285,0.00737465129593623,0.12521707043703043
-0.06399999999999999,0.01761794040159023,0.008343146153669071,0.12977592851058284
-0.06349999999999999,0.03201396400592254,0.009429907095490776,0.13452838461644068
-0.06299999999999999,0.05415007755554437,0.010648150416776404,0.13948376881833408
-0.062499999999999986,0.08571716048827482,0.012012409855016623,0.14465191041121023
-0.062,0.12745134603112412,0.013538648304906536,0.15004316702203607
-0.0615,0.17845142985807197,0.015244376721337211,0.15566845552520467
-0.061,0.23566477964394483,0.017148780414325285,0.1615392848911982
-0.0605,0.2937927663265686,0.019272852913994033,0.16766779109509558
-0.06,0.34481859462596054,0.021639537553072633,0.17406677421994715
-0.0595,0.38014703709972336,0.02427387687869544,0.18074973789904802
-0.059,0.39384691011514783,0.02720316996424419,0.187730931250711
-0.058499999999999996,0.38496984219887753,0.030457137645291548,0.1950253934693314
-0.057999999999999996,0.3559957585382002,0.03406809565109892,0.20264900124737154
-0.057499999999999996,0.3129407392165237,0.03807113554434159,0.2106185192144089
-0.056999999999999995,0.26413220836329243,0.042504313316570175,0.21895165359161592
-0.056499999999999995,0.21876861400136507,0.047408845415177335,0.2276671092730186
-0.055999999999999994,0.18679618122733968,0.052829311899197505,0.23678465055864178
-0.055499999999999994,0.17341686061961992,0.05881386633603084,0.24632516577920868
-0.05499999999999999,0.18150395891342377,0.0654144519591283,0.25631073606749527
-0.05449999999999999,0.21098256931329012,0.0726870235078364,0.26676470854772705
-0.05399999999999999,0.2590045152139146,0.08069177406509004,0.27771177423160753
-0.05349999999999999,0.3204210030594447,0.08949336609664338,0.289178050927697
-0.05299999999999999,0.38853866106112994,0.09916116577732201,0.3011911714899313
-0.05249999999999999,0.455201043800514,0.10976947956572448,0.31378037775111883
-0.05199999999999999,0.5132470966959147,0.121397791859371,0.3269766205082476
-0.05149999999999999,0.5589411134853952,0.13413100242804826,0.3408126659484049
-0.05099999999999999,0.5904770130206213,0.1480596621847379,0.355323208927042
-0.05049999999999999,0.6078050493486669,0.16328020571180124,0.3705449935341491
-0.04999999999999999,0.6123043929311842,0.17989517881597017,0.3865169414086279
-0.04949999999999999,0.6067009873475553,0.19801345924017955,0.4032802882866973
-0.04899999999999999,0.5953155064324234,0.21775046851452518,0.420878729296417
-0.04849999999999999,0.5853211133945426,0.2392283727839368,0.43935857353730573
-0.04799999999999999,0.5858810026134105,0.2625762703078895,0.4587689085113716
-0.04749999999999999,0.6062855425249145,0.28793036318918586,0.4791617749994993
-0.046999999999999986,0.6542832574497323,0.31543411075613575,0.5005923530048146
-0.046499999999999986,0.7332611074690927,0.3452383618970806,0.5231191594121011
-0.045999999999999985,0.8399712077302048,0.3775014635299952,0.5468042580391994
-0.0455,0.9599919737738026,0.4123893422847754,0.5717134827822136
-0.045,1.0715548090164924,0.4500755563837867,0.5979166745807393
-0.0445,1.1496205635732606,0.4907413146293388,0.62548793295163585
-0.044,1.177674138638147,0.5345754593471475,0.6545058828594199
-0.0435,1.147121968824169,0.5817744100945714,0.6850539577073013
-0.043,1.0597709745008426,0.6325420649237053,0.7172206992442395
-0.042499999999999996,0.9270822940858804,0.6870896559943298,0.7511000751891144
-0.041999999999999996,0.7672558749934042,0.7456355563623726,0.7867918153717555
-0.041499999999999995,0.6011818149092694,0.8084050348279231,0.8244017671807388
-0.040999999999999995,0.45112025988391313,0.8756299558148839,0.8640422710877154
-0.040499999999999994,0.33255138730907946,0.947548421373813,0.9058325569855556
-0.039999999999999994,0.2548963523073594,1.0244043525520972,0.9498991620305022
-0.03949999999999999,0.22545299760185308,1.106447007562627,0.9963763706140802
-0.03899999999999999,0.24837873168928032,1.1939304344050559,1.0454066770056984
-0.03849999999999999,0.3241234443669935,1.2871128558532237,1.0971412710982786
-0.03799999999999999,0.4531018696659132,1.3862559850193983,1.1517405475528322
-0.03749999999999999,0.6342045816483923,1.4916242700408011,1.2093746384693351
-0.03699999999999999,0.8606673395283806,1.603484066806604,1.2702239695054658
-0.03649999999999999,1.113926505824614,1.722102739053876,1.3344798391161594
-0.03599999999999999,1.3735724732252306,1.8477476856080848,1.4023450202892853
-0.03549999999999999,1.6160074447772408,1.9806852950266112,1.4740343837990064
-0.03499999999999999,1.818478002003159,2.1211798284207393,1.5497755415808578
-0.03449999999999999,1.9638344865496193,2.2694922317807773,1.6298095083428361
-0.03399999999999999,2.0447456703027567,2.4258788797077493,1.7143913789552592
-0.03349999999999999,2.0628331424142936,2.5905902530607094,1.8037910184990695
-0.03299999999999999,2.040538008662178,2.7638695536575204,1.8982937610861679
-0.03249999999999999,2.005753747093184,2.9459512598152666,1.9982011126848995
-0.03199999999999999,1.9846955646042708,3.1370596271797178,2.1038314521763204
-0.031499999999999986,1.9939864518457877,3.3374071399669036,2.215520723719011
-0.030999999999999986,2.03977121169224,3.5471929184184,2.3336231121989566
-0.030499999999999985,2.1179590828609505,3.7666010889499715,2.458511692071748
-0.03,2.2168819350713336,3.9957991241446376,2.590579038254131
-0.0295,2.3199564779264916,4.234936160399739,2.730237785876863
-0.028999999999999998,2.411891695315493,4.484141301676619,2.8779211236587257
-0.028499999999999998,2.483824983969434,4.743521918414336,3.0340832033920315
-0.027999999999999997,2.5328226593031338,5.01316195124823,3.199199445534243
-0.027499999999999997,2.561211958277752,5.2931202297132796,3.3737667181740285
-0.026999999999999996,2.5745358449388402,5.5834288166038935,3.558303363682918
-0.026499999999999996,2.57890615534116,5.884091389098784,3.753349044181445
-0.025999999999999995,2.57837557064114,6.195081668135307,3.9594643735551207
-0.025499999999999995,2.5744606310321854,6.516341907824959,4.177230300174261
-0.024999999999999994,2.5668316321473887,6.847781456934534,4.407247200737542
-0.024499999999999994,2.556028158225247,7.189275404609277,4.650133641822876
-0.023999999999999994,2.5454323216452384,7.5406633225800705,4.906524761857317
-0.023499999999999993,2.541839970029572,7.901748116070567,5.177070222398371
-0.022999999999999993,2.554779056766821,8.272294995498456,5.462431673964054
-0.022499999999999992,2.5950878959303463,8.652030580843272,5.7632796782958415
-0.021999999999999992,2.6777478086113438,9.040642150228864,6.0802900260575266
-0.02149999999999999,2.8077787213596497,9.43777704383942,6.414139386765524
-0.02099999999999999,2.9906595070865247,9.843042233752561,6.765500226451391
-0.02049999999999999,3.2288733919549086,10.256004069631482,7.135034928452562
-0.01999999999999999,3.521099450890213,10.676188209470645,7.523389054127804
-0.01949999999999999,3.8617485006431056,11.103079743738585,7.931183683554881
-0.01899999999999999,4.236200649145091,11.536123520309351,8.359006781777575
-0.01849999999999999,4.621431753210399,11.974724676525106,8.807403544347832
-0.017999999999999988,4.989116632942645,12.418249383591657,9.276865687194999
-0.017499999999999988,5.31604342036276,12.866025807282227,9.767819660694947
-0.016999999999999987,5.586858661564043,13.317345287619851,10.28061378664331
-0.016499999999999987,5.797593499689324,13.771463738833713,10.81550434005997
-0.015999999999999986,5.957271437759108,14.22760326944893,11.372640625704326
-0.015499999999999986,6.086731448634161,14.684954020882554,11.952049132100111
-0.014999999999999986,6.215097674595179,15.142676221392591,12.5536168838514
-0.014499999999999985,6.3809039008769455,15.599902450672705,13.17707415598622
-0.013999999999999985,6.6152862972839985,16.055740108816206,13.821976761659707
-0.013499999999999984,6.943524624009826,16.509274081801294,14.487688176161564
-0.012999999999999984,7.388172095810468,16.959569594089583,15.173361814835747
-0.012499999999999983,7.969470240915457,17.405675237394625,15.877923838874965
-0.011999999999999983,8.698875479611656,17.846626163181345,16.600056919215266
-0.011499999999999982,9.58563946973057,18.281447425014115,17.338185442694257
-0.010999999999999982,10.64155004206419,18.709157455495678,18.090462693578385
-0.010499999999999982,11.867933768559965,19.12877166124338,18.854760584425925
-0.009999999999999981,13.23460968486342,19.539306118148176,19.62866253961421
-0.00949999999999998,14.709510041230292,19.93978134806681,20.40946014907747
-0.00899999999999998,16.250962267737837,20.32922615712129,21.19415420516844
-0.00849999999999998,17.815144382684622,20.706681514933116,21.979460708510878
-0.00799999999999998,19.36523027311543,21.071204453412538,22.761822376084297
-0.007499999999999979,20.8793930044123,21.421871963165167,23.537426104093313
-0.0069999999999999785,22.353144763101717,21.7577848651762,24.30222672792735
-0.006499999999999978,23.807898524013325,22.078071635193908,25.051977281512592
-0.005999999999999978,25.27483831308024,22.381892158163037,25.782265789973774
