T,gamma_itm,gamma_atm,gamma_otm
0.8400000000000001,2.346355585175896,2.8745845091632756,3.1284281073511795
0.85,2.333899325815534,2.85730369575954,3.1123083683304755
0.86,2.3216317061567335,2.8403233364307634,3.096423787304985
0.87,2.30954805647539,2.8236347836027242,3.080768811343143
0.88,2.2976438644799044,2.807229734438942,3.0653380633635066
0.89,2.285914768712863,2.791100213365785,3.0501263353890953
0.9,2.2743565522766516,2.7752385556682855,3.035128582090237
0.91,2.2629651368652546,2.75963739207999,3.020339914603659
0.92,2.2517365770855253,2.7442896342964334,3.005755594615911
0.93,2.240667055052203,2.7291884613475013,2.9913710286995903
0.9400000000000001,2.2297528752418265,2.714327306769152,2.9771817628912367
0.9500000000000001,2.218990459591594,2.699699846519652,2.9631834775001766
0.9600000000000001,2.208376342830008,2.6852999875898065,2.949371982137978
0.97,2.197907168026913,2.6711218572605406,2.935743210958634
0.98,2.1875796823512546,2.657159792964821,2.9222932180999526
0.99,2.177390733025564,2.643408332714109,2.909018173317042
1,2.1673372634668038,2.629862206052593,2.8959143577991964
