month,puty,puty_return,puty_growth,put,put_return,put_growth,sp500,dividend,sp500_return,sp500_growth,rf_return,rf_growth
1995-10-31,205.3,0.0053868756121451256,2.016897534138914,278.0958155328558,0.0076266163669502784,3.0334733454345515,582.92,13.65,0.009135753408089586,3.0738386274585503,0.004699999999999999,1.6109362079504126
1995-11-30,207.75,0.01193375547978559,2.0409666961391104,284.31198655709085,0.022352623365886837,3.1012794326155064,595.53,13.72,0.023593860792790355,3.1463623481343093,0.0042,1.6177021400238043
1995-12-31,208.51,0.0036582430806257893,2.048433048433049,286.01208868697626,0.005979706133649065,3.119824172260877,614.57,13.79,0.03390117486384692,3.2530277282834343,0.0049,1.6256288805099208
1996-01-31,210.9,0.011462279986571566,2.0719127615679347,288.70725229387403,0.0094232506719234,3.1492230574884172,614.42,13.8933,0.0016398050669572672,3.258362059635226,0.0043,1.6326190846961133
1996-02-29,211.59,0.003271692745376864,2.07869142351901,289.06898505363773,0.00125293963656814,3.153168843881539,649.54,13.9967,0.059057959810336014,3.450794275200687,0.0039000000000000003,1.6389862991264281
1996-03-31,214.78,0.015076326858547207,2.1100304548580415,293.99848480995183,0.01705302198158476,3.206939901487899,647.07,14.1,-0.00199371863164699,3.4439143623602386,0.0039000000000000003,1.6453783456930213
1996-04-30,217.87,0.014386814414750093,2.140387071421555,300.4160603082681,0.021828600587736835,3.2769429117063544,647.17,14.1567,0.0019777226575175,3.4507254698252283,0.0046,1.6529470860832092
1996-05-31,219.5,0.007481525680451684,2.1564004322625023,304.1400835296243,0.012396218822438687,3.3175646131085057,661.23,14.2133,0.02355554439585683,3.5320091868276102,0.0042,1.6598894638447586
1996-06-30,222.73,0.014715261958997639,2.188132429511741,310.4378008260977,0.020706633678095887,3.3862602082555577,668.5,14.27,0.012793077547399001,3.5771944542528216,0.004,1.6665290217001376
1996-07-31,221.75,-0.004399946123108678,2.178504764711662,306.07208401182476,-0.01406309670618544,3.338638903474552,644.07,14.4,-0.03474943904263261,3.4528889536211196,0.0045000000000000005,1.674028402297788
1996-08-31,223.19,0.006493799323562532,2.1926515374791244,308.3929342253388,0.007582691577401102,3.363954772567912,662.68,14.53,0.030774346473726677,3.5591493546151596,0.0040999999999999995,1.6808919187472091
1996-09-30,227.05,0.01729468166136483,2.230572747814128,318.09383876219056,0.03145631258128434,3.4697723854031115,674.88,14.66,0.02025361662743208,3.6312350011633074,0.0044,1.6882878431896966
1996-10-31,229.37,0.010218013653380265,2.253364770606151,322.5213637614828,0.013918927246504342,3.5180678947974675,701.46,14.74,0.04120485617196157,3.7808595171128343,0.0042,1.6953786521310934
1996-11-30,232.31,0.01281771809739718,2.2822477650063866,329.8911739197172,0.022850610800730253,3.5984578950320287,735.67,14.82,0.05053032247027622,3.9719075677273583,0.0040999999999999995,1.702329704604831
1996-12-31,233.26,0.004089363350695097,2.2915807053738093,332.9323086364291,0.009218599820594253,3.631630638337587,743.25,14.9,0.011991336695348132,4.019536048694778,0.0046,1.710160421246013
1997-01-31,237.73,0.019163165566320917,2.335494645839474,343,0.03023945439481235,3.7414491674044,766.22,14.9533,0.03258137683596818,4.150498067403062,0.0045000000000000005,1.71785614314162
1997-02-28,239.1,0.005762840196861907,2.348953728264074,345.3704890490773,0.006911046790312847,3.767306497663909,798.39,15.0067,0.043617444511149905,4.33153218655165,0.0039000000000000003,1.7245557820998723
1997-03-31,240.54,0.006022584692597199,2.363100501031536,341.8732030630326,-0.010126186506768331,3.7291580494404037,792.16,15.06,-0.006231290472075046,4.304541151308104,0.0043,1.7319713719629017
1997-04-30,248.68,0.03384052548432703,2.4430690637587196,351.71563711446913,0.028789720759780923,3.8365194683528823,763.93,15.0933,-0.034048961068470995,4.157975997229583,0.0043,1.739418848862342
1997-05-31,251.61,0.011782210069165133,2.4718538166814037,357.75161719158086,0.01716153460401104,3.902360029967982,833.09,15.1267,0.09218195166223775,4.541266339618945,0.0049,1.7479420012217675
1997-06-30,252.65,0.004133381026191207,2.4820709303467927,360.7150818896631,0.008283581556796316,3.9346855475402043,876.29,15.16,0.05337158450267476,4.78364091981307,0.0037,1.754409386626288
1997-07-31,259.55,0.027310508608747286,2.5498575498575504,376.9457980550825,0.044995945499124224,4.1117304439935145,925.29,15.2167,0.05736463765800526,5.058052747864154,0.0043,1.761953346988781
1997-08-31,260.25,0.002696975534578927,2.5567344532861775,378.3784281732159,0.0038006263115952788,4.127357594905144,927.24,15.2733,0.0034829891169256832,5.075669890537801,0.0040999999999999995,1.769177355711435
1997-09-30,267.11,0.026359269932757057,2.6241281068867277,393.30515454345283,0.03944920021551468,4.290178551027582,937.02,15.33,0.011925175790518106,5.136198146237104,0.0044,1.7769617360765653
1997-10-31,265.49,-0.006064917075362275,2.6082129875233324,392.70193441807885,-0.0015337203654861575,4.2835986168122995,951.16,15.3867,0.01645880023905577,5.220733805514229,0.0042,1.7844249753680868
1997-11-30,274.95,0.03563222720253112,2.701149425287356,411.00823515800965,0.04661627340099006,4.483284021073724,938.92,15.4433,-0.011515474087780642,5.160614580657629,0.0039000000000000003,1.7913842327720224
1997-12-31,283.19,0.029969085288234165,2.7821004027900575,425.0881462240626,0.03425700475475879,4.636867903100581,962.37,15.5,0.02635119783013118,5.2966029563975985,0.0048,1.799982877089328
1998-01-31,288,0.016985063031886627,2.829354553492484,434.3674890808718,0.021829220455180876,4.738087114778915,963.36,15.55,0.002375212582825137,5.309183514385863,0.0043,1.807722803460812
1998-02-28,292.01,0.013923611111111178,2.868749385990765,443.9857422867542,0.022143124077344645,4.8430031656507335,1023.74,15.6,0.06402590931738916,5.649108816627309,0.0039000000000000003,1.8147729223943092
1998-03-31,293.94,0.0066093626930585625,2.887709991158267,450.01771415899645,0.013585958506628026,4.908800005706732,1076.83,15.64,0.05313198012516196,5.9492571539972285,0.0039000000000000003,1.821850536791647
1998-04-30,299.05,0.017384500238143863,2.937911386187248,460.721440697877,0.023785122678745774,5.025556416047895,1112.2,15.75,0.034065265640816245,6.151920179313671,0.0043,1.8296844940998511
1998-05-31,299.88,0.002775455609429711,2.946065428824049,464.63553188702116,0.008495569868021136,5.068251381706111,1108.42,15.85,-0.002211083138524139,6.138317772335644,0.004,1.8370032320762504
1998-06-30,308.36,0.028277977857809944,3.029374201787995,481.71423330680864,0.036757200531835954,5.254546114089238,1108.39,15.95,0.0011720887990713802,6.145512425841739,0.0040999999999999995,1.844534945327763
1998-07-31,301.36,-0.02270073939551176,2.9606051675017193,467.33562981816294,-0.02984882424989055,5.097704090616843,1156.58,16.0167,0.04468167792924849,6.420104232763395,0.004,1.8519130851090742
1998-08-31,272.81,-0.09473719139899128,2.680125749091266,419.3526777989955,-0.10267342988129813,4.574305327113287,1074.62,16.0833,-0.0697052733057808,5.972589112567022,0.0043,1.8598763113750432
1998-09-30,294.43,0.0792492943807046,2.892523823558306,451.65979856143264,0.07704045418763883,4.9267118871070315,1020.64,16.14,-0.048980104595112595,5.680051073129858,0.0046,1.8684317424073682
1998-10-31,308.12,0.046496620588934556,3.027016406326751,476.84695776427594,0.055765776106410536,5.201453799144233,1032.47,16.1667,0.012910747178241033,5.753384776494535,0.0032,1.8744107239830718
1998-11-30,311.73,0.011716214461898078,3.0624815797229594,484.8730583990729,0.01683160708925935,5.289002625784365,1144.43,16.1833,0.1097451822651827,6.384791037432655,0.0031,1.8802213972274195
1998-12-31,320.49,0.028101241458954762,3.1485411140583555,503.90856577680614,0.03925874421767972,5.496642227036669,1190.05,16.2,0.04104226558199264,6.646837326876492,0.0038,1.887366238536884
1999-01-31,328.96,0.02642828169365652,3.231751645544749,518.6175167816197,0.029189722111865102,5.657087686192213,1248.77,16.28333333,0.05048270614189887,6.9823876624222025,0.0034999999999999996,1.8939720203717632
1999-02-28,333.84,0.0148346303501945,3.279693486590038,527.4095346037712,0.01695279765464175,5.752991149050795,1246.58,16.36666667,-6.615398438730713e-4,6.977768534778143,0.0034999999999999996,1.9006009224430644
1999-03-31,338.25,0.013209920920201457,3.3230179781903924,536.3198428794401,0.01689447704498348,5.850184925958427,1281.66,16.45,0.029240669137426734,7.181803155821138,0.0043,1.9087735064095694
1999-04-30,347.13,0.02625277161862516,3.41025641025641,558.2385413256563,0.04086870686815769,6.089274418821937,1334.76,16.45,0.04250022106746987,7.487031377606589,0.0037,1.9158359683832848
1999-05-31,349.04,0.00550226140062815,3.4290205324688086,561.6627456949575,0.0061339447490846855,6.126625691669005,1332.07,16.45,-9.883175002747269e-4,7.479631813470994,0.0034000000000000002,1.9223498106757881
1999-06-30,359.89,0.03108526243410492,3.5356125356125356,588.3013660376337,0.0474281417930178,6.417200163686228,1322.55,16.45,-0.006117671493740207,7.43387388314205,0.004,1.9300392099184913
1999-07-31,351.1,-0.024424129595153943,3.4492582768444846,570.403610075429,-0.03042276798157173,6.221971172015098,1380.99,16.513333333333335,0.0452278636808523,7.770092117749447,0.0038,1.9373733589161817
1999-08-31,354.44,0.00951295927086293,3.4820709303467927,573.620998906968,0.005640547806339269,6.257066497860514,1327.49,16.576666666666668,-0.03774003512777868,7.4768485682795065,0.0039000000000000003,1.944929115015955
1999-09-30,356.64,0.006206974382123809,3.5036840554081934,576.6646975938012,0.005306114477386492,6.290267208990781,1318.17,16.64,-0.005976190655547775,7.432165495732809,0.0039000000000000003,1.9525143385645172
