DATE,BAMLHYH0A0HYM2TRIV
2021-01-01,1504.160
2021-02-01,1509.400
2021-03-01,1511.970
2021-04-01,1528.550
2021-05-01,1532.960
2021-06-01,1553.910
2021-07-01,1559.440
2021-08-01,1567.950
2021-09-01,1568.470
2021-10-01,1565.680
2021-11-01,1549.640
2021-12-01,1578.790
2022-01-01,1535.390
2022-02-01,1521.600
2022-03-01,1507.530
2022-04-01,1452.690
2022-05-01,1456.320
2022-06-01,1357.200
2022-07-01,1438.940
2022-08-01,1404.480
2022-09-01,1348.000
2022-10-01,1386.370
2022-11-01,1412.320
2022-12-01,1401.680
2023-01-01,1456.480
2023-02-01,1437.640
2023-03-01,1453.820
2023-04-01,1467.850
2023-05-01,1453.910
2023-06-01,1477.580
2023-07-01,1498.620
2023-08-01,1502.900
2023-09-01,1485.420
2023-10-01,1467.030
2023-11-01,1533.760
2023-12-01,1590.320
2024-01-01,1590.610
2024-02-01,1595.320
2024-03-01,1614.330
2024-04-01,1598.180
2024-05-01,1616.320
2024-06-01,1631.920
2024-07-01,1663.940
2024-08-01,1690.410
2024-09-01,1718.040
2024-10-01,1708.580
2024-11-01,1728.150
2024-12-01,1720.740
2025-01-01,1744.500
2025-02-01,1755.840
2025-03-01,1736.990
2025-04-01,
