S,C_0,C_5,C_10,C_25
98.55,0,0.883503886592635,1.8655104352778196,4.813256891129086
98.6,0,0.9072759285576737,1.8902700726419255,4.839207605934959
98.65,0,0.9314520281362348,1.9152320067406166,4.865239142076462
98.7,0,0.9560323190654074,1.9403961389589526,4.89135144164176
98.75,0,0.9810167689595914,1.965762350019773,4.917544445463342
98.8,0.042219950611851687,1.0064051796025524,1.9913305000517951,4.943818093122751
98.85,0.09221995061184884,1.0321971874428684,2.017100428663916,4.970172322955506
98.9,0.1422199506118602,1.0583922642913706,2.043071955025489,4.99660707205598
98.95,0.19221995061185737,1.0849897182181394,2.0692448779527624,5.023122276282294
99,0.24221995061185453,1.1119886946473017,2.095618976001269,5.049717870261411
99.05,0.2922199506118517,1.1393881776465733,2.122194007564161,5.07639378739411
99.1,0.34221995061184884,1.167186991408471,2.14896971097631,5.103149959860119
99.15,0.3922199506118602,1.1953838019197889,2.1759458046243623,5.129986318623182
99.2,0.44221995061185737,1.223977118815455,2.203121987062339,5.156902793436316
99.25,0.49221995061185453,1.252965297412544,2.230497937133073,5.183899312846997
99.3,0.5422199506118517,1.282346540920095,2.2580733140950997,5.210975804202413
99.35,0.5922199506118488,1.3121189028195772,2.2858477577550005,5.23813219365482
99.4,0.6422199506118602,1.3422802894110575,2.3138208886053278,5.265368406166871
99.45,0.6922199506118574,1.372828462519692,2.3419923079676863,5.292684365516955
99.5,0.7422199506118545,1.403761042356571,2.3703615981412938,5.320079994304756
99.55,0.7922199506118517,1.4350755105281436,2.3989283225563938,5.347555213956646
99.6,0.8422199506118488,1.466769213187895,2.427692025933041,5.375109944731221
99.65,0.8922199506118602,1.4988393643238496,2.4566522344446895,5.402744105724864
99.7,0.9422199506118574,1.5312830491751797,2.485808455886705,5.430457614877305
99.75,0.9922199506118545,1.5640972277712848,2.5151601798498007,5.4582503889774046
99.8,1.0422199506118517,1.5972787385859988,2.544706877897937,5.486122343668633
99.85,1.0922199506118488,1.6308243023000273,2.5744480037510584,5.514073393454922
99.9,1.1422199506118602,1.6647305256642255,2.604382993472157,5.542103451706346
99.95,1.1922199506118574,1.6989939054562058,2.6345112656588583,5.570212430664995
100,1.2422199506118545,1.7336108325230128,2.6648322216391946,5.598400241450669
100.05,1.2922199506118517,1.7685775959020589,2.6953452456716605,5.626666794066871
100.1,1.3422199506118488,1.803890387012828,2.7260497051494,5.655011997406682
100.15,1.3922199506118602,1.8395453039115495,2.7569449508080694,5.683435759258586
100.2,1.4422199506118574,1.8755383556013214,2.7880303169380127,5.711937986312556
100.25,1.4922199506118545,1.9118654663900259,2.8193051215998324,5.740518584166004
100.3,1.5422199506118517,1.9485224802880765,2.8507686668438126,5.769177457329839
100.35,1.5922199506118488,1.9855051654387381,2.882420238932802,5.797914509234488
100.4,1.6422199506118602,2.0228092185733573,2.914259108568494,5.8267296422360815
100.45,1.6922199506118574,2.060430269483817,2.946284531121073,5.8556227576224344
100.5,1.7422199506118545,2.0983638855051936,2.9784957468619737,5.884593755619349
100.55,1.7922199506118517,2.1366055760008464,3.0108919811999115,5.913642535396782
100.6,1.8422199506118488,2.1751507968433543,3.043472444919587,5.9427689950750135
100.65,1.8922199506118602,2.2139949548837308,3.0762363344234345,5.971973031730904
100.7,1.9422199506118574,2.2531334124023203,3.1091828319760992,6.001254541404215
100.75,1.9922199506118545,2.292561491534613,3.1423111059513644,6.030613419103894
100.8,2.0422199506118517,2.3322744786655534,3.1756203110817722,6.060049558814427
100.85,2.092219950611849,2.372267628785579,3.20910958871049,6.089562853502166
100.9,2.14221995061186,2.4125361698029337,3.242778067045478,6.119153195121761
100.95,2.1922199506118574,2.453075306805488,3.276624861415712,6.148820474622532
101,2.2422199506118545,2.4938802262672226,3.3106490745296497,6.178564581954973
101.05,2.2922199506118517,2.5349461001930536,3.3448497967352324,6.208385406077127
101.1,2.342219950611849,2.576268090197459,3.379226106282033,6.23828283496119
101.15,2.39221995061186,2.617841351511359,3.4137770695848957,6.26825675559995
101.2,2.4422199506118574,2.65966103691278,3.4485017414889683,6.2983070540133355
101.25,2.4922199506118545,2.701722300576847,3.483399165536568,6.32843361525498
101.3,2.5422199506118517,2.7440203018406635,3.5184683742349563,6.3586363234188426
101.35,2.592219950611849,2.7865502088791487,3.5537083893254646,6.388915061645804
101.4,2.64221995061186,2.8293072022882626,3.5891182220537416,6.419269712130216
101.45,2.6922199506118574,2.872286478572036,3.624696873440868,6.44970015612666
101.5,2.7422199506118545,2.915483253530425,3.6604433345553815,6.4802062739565685
