date,acmtp02,acmtp05,acmtp10
1983-06-30,1.418413054986015,2.6803887098421306,3.743973054138733
1983-07-29,1.7425071343397818,3.049409400662542,4.223367295518606
1983-08-31,1.8289663867355248,3.115772065187741,4.303146157188367
1983-09-30,1.6800345885256753,3.009467816173105,4.127870366711484
1983-10-31,1.8313269691149845,3.252313310565949,4.427053550817634
1983-11-30,1.6468543417121229,3.026139139271203,4.135616745608808
1983-12-30,1.7507209943709086,3.1178611988899014,4.284216181516809
1984-01-31,1.6299426321580341,3.0697230288118256,4.22887188357423
1984-02-29,1.760792895633264,3.2009543122804978,4.397281335193215
1984-03-30,1.7546743318121294,3.2348519252385923,4.476197924462154
1984-04-30,1.8689975953648936,3.422723241499364,4.692973041829082
1984-05-31,2.366883379010055,3.8463336143211695,5.2693851989422935
1984-06-29,2.4908975924562107,3.7574250776443456,5.087044881838251
1984-07-31,2.0982584635530603,3.2104538758521066,4.483942935438474
1984-08-31,1.794107907453574,2.9310425965735174,4.085562831194281
1984-09-28,1.6729771325034033,2.8443638331308723,3.909384052328896
1984-10-31,1.6926134530377972,2.8314655080779705,3.8830112967535353
1984-11-30,1.769335034096045,3.111988541779338,4.1572386828102825
1984-12-31,1.9339649894666042,3.3856966959570807,4.523547959529391
1985-01-31,1.6515172164985046,3.034478990095841,4.065485302443081
1985-02-28,1.8311750021674147,3.326210396872309,4.510950022750366
1985-03-29,1.9355940390529476,3.31653110837045,4.480831833333632
1985-04-30,1.994913539557336,3.43581537696436,4.638806547248396
1985-05-31,1.7118118686816706,2.9679019240833044,3.9880766836143726
1985-06-28,1.6162020960737147,3.059589469078503,4.089011215980522
1985-07-31,1.6805526299346472,3.1593008253804467,4.274032802966099
1985-08-30,1.7115106932260309,3.02452365927073,4.032577227437565
1985-09-30,1.8013033426144123,3.1138678066509886,4.217152761379018
1985-10-31,1.632862252547791,2.9133530047307925,4.017992064976134
1985-11-29,1.50188081926947,2.718754121504242,3.8095077269704216
1985-12-31,1.314841313302801,2.3480243491935164,3.4169904736128123
1986-01-31,1.3664534963510695,2.462311626001263,3.5763383166432874
1986-02-28,0.8868831868891824,1.5905229793935343,2.3627066063320363
1986-03-31,0.6690725934405393,1.2855116168799192,1.9392016344258538
1986-04-30,0.791990316137162,1.4273508068607272,2.0525125856162836
1986-05-30,1.0667239745807127,1.860332461376541,2.530350615912919
1986-06-30,0.8733767527248473,1.5899649215911271,2.2454057600829023
1986-07-31,1.009671640691332,1.8384970685172952,2.6568296708569283
1986-08-29,1.0153118373369443,1.8408825512962812,2.6404204442811254
1986-09-30,1.182134928467363,2.1138356499746136,2.970862362609596
1986-10-31,1.1277369718878862,2.036557159363319,2.9240618375642375
1986-11-28,1.0415866229767285,1.9015153609370765,2.7950040413235584
1986-12-31,1.0096681527827522,1.788393571180655,2.686385880117564
1987-01-30,0.9628262713382787,1.7587688925398126,2.6383733082755505
1987-02-27,0.9596816298901114,1.676383558044379,2.508904721931306
1987-03-31,1.0047223337669449,1.785284602913662,2.6568629958555414
1987-04-30,1.3587161150491083,2.112105382442018,3.0077797632617003
1987-05-29,1.3803371865482568,2.1035006079788277,2.9641176266476634
1987-06-30,1.2116094292057538,2.108455175123459,2.9849076247382884
1987-07-31,1.3478712413910712,2.32344962854199,3.2494998572654037
1987-08-31,1.4045979402944608,2.3861473096227064,3.3283387878705852
1987-09-30,1.6150844115516563,2.614088747369209,3.6116573002766845
1987-10-30,1.408384367209364,2.4276995707139992,3.3237411812844737
1987-11-30,1.4690995686819042,2.5052961891886127,3.46506849432979
