x,y
0.4800000000000004,0.6843863034837776
0.4900000000000002,0.6879330505826096
0.5,0.691462461274013
0.5099999999999998,0.6949742691024805
0.5200000000000005,0.6984682124530339
0.5300000000000002,0.7019440346051237
0.54,0.705401483784302
0.5499999999999998,0.7088403132116536
0.5600000000000005,0.7122602811509731
0.5700000000000003,0.7156611509536759
0.5800000000000001,0.7190426911014357
0.5899999999999999,0.7224046752465351
0.6000000000000005,0.7257468822499267
0.6100000000000003,0.7290690962169943
0.6200000000000001,0.732371106531017
0.6299999999999999,0.7356527078843224
0.6399999999999997,0.7389137003071383
0.6500000000000004,0.7421538891941354
0.6600000000000001,0.745373085328664
0.6699999999999999,0.7485711049046898
0.6799999999999997,0.7517477695464294
0.6900000000000004,0.7549029063256907
0.7000000000000002,0.7580363477769271
0.71,0.7611479319100134
0.7199999999999998,0.7642375022207488
0.7300000000000004,0.7673049076991028
0.7400000000000002,0.7703500028352095
0.75,0.7733726476231317
0.7599999999999998,0.7763727075624005
0.7700000000000005,0.77935005365735055
0.7800000000000002,0.7823045624142669
0.79,0.7852361158363629
0.7999999999999998,0.7881446014166034
0.8100000000000005,0.7910299121283986
0.8200000000000003,0.793891946414187
0.8300000000000001,0.7967306081719315
0.8399999999999999,0.7995458067395502
0.8500000000000005,0.8023374568773078
0.8600000000000003,0.8051054787481917
0.8700000000000001,0.8078497978963038
0.8799999999999999,0.8105703452232877
0.8899999999999997,0.8132670569628273
0.9000000000000004,0.8159398746532407
0.9100000000000001,0.8185887451082028
0.9199999999999999,0.8212136203856283
0.9299999999999997,0.8238144577547419
0.9400000000000004,0.8263912196613755
0.9500000000000002,0.8289438736915182
0.96,0.8314723925331622
0.9699999999999998,0.8339767539364703
0.9800000000000004,0.8364569406723077
0.9900000000000002,0.8389129404891691
1,0.8413447460685429
1.0099999999999998,0.8437523549787453
1.0200000000000005,0.8461357696272652
1.0300000000000002,0.8484949972116564
1.04,0.8508300496690187
1.0499999999999998,0.853140943624104
1.0600000000000005,0.8554277003360905
1.0700000000000003,0.8576903456440608
1.08,0.8599289099112309
1.0899999999999999,0.8621434279679645
1.1000000000000005,0.8643339390536174
1.1100000000000003,0.8665004867572529
1.12,0.8686431189572693
1.13,0.8707618877599821
1.1400000000000006,0.8728568494372019
1.1500000000000004,0.8749280643628499
1.1600000000000001,0.8769755969486567
1.17,0.8789995155789818
1.1799999999999997,0.8809998925447993
1.1900000000000004,0.8829768039768914
1.2000000000000002,0.8849303297782918
1.21,0.8868605535560228
1.2199999999999998,0.8887675625521654
1.2300000000000004,0.8906514475743081
1.2400000000000002,0.8925123029254132
1.25,0.8943502263331448
1.2599999999999998,0.8961653188786995
1.2700000000000005,0.8979576849251809
1.2800000000000002,0.8997274320455579
1.29,0.9014746709502521
1.2999999999999998,0.9031995154143896
1.3100000000000005,0.9049020822047611
1.3200000000000003,0.9065824910065283
1.33,0.9082408643497192
1.3399999999999999,0.9098773275355475
1.3500000000000005,0.911492008562598
1.3600000000000003,0.9130850380529151
1.37,0.9146565491780331
1.38,0.9162066775849858
1.3900000000000006,0.9177355613223311
1.4000000000000004,0.919243340766229
1.4100000000000001,0.9207301585466077
1.42,0.9221961594734536
1.4299999999999997,0.9236414904632608
1.4400000000000004,0.9250663004656731
1.4500000000000002,0.9264707403903517
1.46,0.9278549630341062
1.4699999999999998,0.9292191230083144
1.4800000000000004,0.9305633766666683
1.4900000000000002,0.9318878820332746
1.5,0.9331927987311419
1.5099999999999998,0.9344782879110834
1.5200000000000005,0.9357445121810642
1.5300000000000002,0.9369916355360216
1.54,0.9382198232881881
1.5499999999999998,0.939429241997941
1.5600000000000005,0.940620059405207
1.5700000000000003,0.941792444361447
1.58,0.9429465667622458
1.5899999999999999,0.9440825974805306
1.6000000000000005,0.9452007083004421
1.6100000000000003,0.9463010718518803
1.62,0.9473838615457479
1.63,0.9484492515099107
1.6400000000000006,0.9494974165258964
