x,t2,t5,t100
-5.66,0.005036164223193583,9.340835325766458e-4,3.198354953200382e-7
-5.65,0.005061371593239043,9.426936310033982e-4,3.339806228155854e-7
-5.64,0.0050867448139718646,9.513943677810064e-4,3.4873755811563394e-7
-5.63,0.005112285228991296,9.601868085087232e-4,3.641320936190301e-7
-5.62,0.005137994194747213,9.690720325253037e-4,3.8019107710351553e-7
-5.61,0.005163873080680942,9.780511331002305e-4,3.969424534126896e-7
-5.6,0.005189923269367834,9.871252176277925e-4,4.144153077209413e-7
-5.59,0.005216146156661557,9.962954078240264e-4,4.326399104329055e-7
-5.58,0.005242543151840203,0.0010055628399265831,4.5164776377607523e-7
-5.57,0.005269115677754158,0.001014928664897557,4.7147165014695463e-7
-5.56,0.005295865170975819,0.0010243940486293268,4.921456822733713e-7
-5.55,0.005322793081951149,0.0010339601721534482,5.137053552574738e-7
-5.54,0.005349900875153101,0.0010436282318526632,5.361876005661384e-7
-5.53,0.005377190029236966,0.001053399439676049,5.596308420377535e-7
-5.52,0.0054046620371975985,0.001063275023357379,5.840750539765458e-7
-5.51,0.005432318406528645,0.001073256226636729,6.095618214079529e-7
-5.5,0.005460160659383713,0.0010833443094853939,6.36134402571074e-7
-5.49,0.005488190332739552,0.0010935405483341479,6.638377937264616e-7
-5.48,0.005516408978561284,0.001103846236304918,6.927187963603571e-7
-5.47,0.005544818163969665,0.0011142626834459172,7.228260868688539e-7
-5.46,0.005573419471410448,0.0011247912169702814,7.542102888082549e-7
-5.45,0.005602214498825874,0.0011354331814982892,7.869240478008145e-7
-5.4399999999999995,0.005631204859828282,0.0011461899393031881,8.210221091875491e-7
-5.43,0.0056603921838759095,0.0011570628705607126,8.565613985231233e-7
-5.42,0.005689778116450893,0.0011680533736023407,8.936011050106545e-7
-5.41,0.005719364319239504,0.0011791628651723282,9.322027679773344e-7
-5.4,0.005749152470314654,0.0011903927806886194,9.724303664950762e-7
-5.39,0.005779144264320679,0.001201744574507666,1.0143504122536517e-6
-5.38,0.005809341412660473,0.0012132197201932052,1.0580320457970378e-6
-5.37,0.005839745643684961,0.0012248197107891045,1.1035471362374223e-6
-5.36,0.005870358702884987,0.0012365460590962859,1.150970384564509e-6
-5.35,0.005901182353085619,0.0012484002979538235,1.2003794306718637e-6
-5.34,0.00593221837464288,0.0012603839805242665,1.251854964225335e-6
-5.33,0.005963468565643038,0.0012724986805832696,1.3054808395028556e-6
-5.32,0.0059949347421043644,0.0012847459928135739,1.3613441943386578e-6
-5.31,0.006026618738181487,0.0012971275331034255,1.4195355733090509e-6
-5.3,0.006058522406372319,0.0013096449388494942,1.4801490553011594e-6
-5.29,0.006090647617727659,0.0013222998692643667,1.543282385610256e-6
-5.28,0.006122996262063421,0.001335094005688681,1.609037112715729e-6
-5.27,0.006155570248175579,0.001348029051907969,1.6775187298902245e-6
-5.26,0.006188371504057902,0.001361106734474303,1.7488368218012541e-6
-5.25,0.006221401977122405,0.001374328803032797,1.8231052162691886e-6
-5.24,0.006254663634422682,0.0013876970306530452,1.9004421413504615e-6
-5.23,0.006288158462880071,0.0014012132141655936,1.9809703879198935e-6
-5.22,0.00632188846951272,0.0014148791745034913,2.064817477931068e-6
-5.21,0.006355855681667605,0.0014286967570490226,2.1521158385389846e-6
-5.2,0.0063900621472555525,0.0014426678319857083,2.243002982274868e-6
-5.1899999999999995,0.006424509934989257,0.0014567942946556293,2.3376216934678227e-6
-5.18,0.006459201134624356,0.0014710780659221892,2.4361202211146597e-6
-5.17,0.006494137857203682,0.0014855210925383677,2.5386524784042364e-6
-5.16,0.006529322235304596,0.0015001253475205919,2.6453782491088335e-6
-5.15,0.00656475642328958,0.0015148928305282678,2.7564634010616194e-6
-5.14,0.006600442597560029,0.001529825568249096,2.872080106944484e-6
-5.13,0.006636382956813352,0.0015449256147902401,2.992407072617957e-6
