month,corp_index,high_yield_index,corp_return,high_yield_return,corp_growth,high_yield_growth
2012-11-30,2450.04,937.1,-8.197222732000409e-4,0.00741775962158675,7.289616185659021,9.293860954081149
2012-12-31,2449.56,951.96,-1.959151687319638e-4,0.015857432504535307,7.288188039274016,9.441237726867026
2013-01-31,2431.99,965.06,-0.0071727167328010655,0.01376108239842,7.2359119309729145,9.571159377169515
2013-02-28,2449.18,969.53,0.007068285642621852,0.00463183636250597,7.287057423385887,9.615491421204029
2013-03-31,2450.8,979.52,6.614458716796001e-4,0.010303961713407528,7.291877417435278,9.714569076663713
2013-04-30,2492.46,997.71,0.016998531091888314,0.018570320156811482,7.415828622433789,9.89497173460282
2013-05-31,2435.61,992.41,-0.02280879131460478,-0.005312164857523838,7.246682534959824,9.84240801348807
2013-06-30,2368.39,966.25,-0.02759883560997045,-0.026360072953718672,7.046682534959824,9.582961420212259
2013-07-31,2385.89,984.42,0.007388985766702216,0.01880465717981883,7.098750371913111,9.76316572448678
2013-08-31,2367.56,977.48,-0.00768266768375736,-0.007049836451920921,7.044213031835754,9.694337002876148
2013-09-30,2389.46,988.02,0.009250029566304496,0.010782829316200893,7.109372210651582,9.798869384111892
2013-10-31,2425.22,1012.31,0.014965724473311903,0.02458452258051458,7.215769116334414,10.039769909749104
2013-11-30,2418.24,1017.01,-0.002878089410445206,0.004642846558860381,7.195001487652474,10.086383020926334
2013-12-31,2413.9,1022.59,-0.001794693661505753,0.00548667171414241,7.1820886640880595,10.141723693345256
2014-01-31,2456.97,1030.15,0.017842495546625647,0.0073929923038560386,7.310235049092522,10.216701378557993
2014-02-28,2483.93,1050.8,0.010972864951545924,0.02004562442362756,7.390449271050271,10.421501537240923
2014-03-31,2485.7,1053.23,7.125804672434288e-4,0.0023125237913970143,7.395715560844976,10.445601507487874
2014-04-30,2514.68,1060.53,0.01165868769360734,0.0069310596925646895,7.481939898839619,10.518000595061016
2014-05-31,2553.13,1071.2,0.01529021585251411,0.01006100723223291,7.596340374888414,10.623822275116554
2014-06-30,2557.41,1080.26,0.001676373705999934,0.008457804331590602,7.609074680154703,10.713676485173083
2014-07-31,2554.4,1065.97,-0.0011769720146553864,-0.013228296891489078,7.600119012198738,10.571952791827849
2014-08-31,2590.85,1082.17,0.014269495772001095,0.015197425818737953,7.708568878310013,10.732619260140853
2014-09-30,2558.64,1059.47,-0.012432213366269762,-0.020976371549756512,7.612734305266276,10.507487850838066
2014-10-31,2582.52,1071.53,0.009333083200450343,0.011383050015573826,7.683784587920249,10.62709511058219
2014-11-30,2598.92,1063.87,0.006350386444248235,-0.007148656593842562,7.7325795894079015,10.551125657046533
2014-12-31,2595.28,1048.18,-0.0014005817801240328,-0.014748042523992422,7.721749479321618,10.395517207180424
2015-01-31,2666.4,1055.41,0.027403594217194183,0.006897670247476562,7.933353168699778,10.467222056927524
2015-02-28,2644.11,1080.59,-0.008359585958595872,0.023858026738423854,7.867033620946133,10.71694932063872
