x,norm_density,lognorm_density
1.0700000000000003,0.22505993528526957,0.3719908476752619
1.08,0.22265349875176113,0.36829866685362117
1.0899999999999999,0.22025076668303334,0.3646455376015838
1.1000000000000005,0.21785217703255041,0.36103126122903983
1.1100000000000003,0.21545816177021965,0.3574556233908422
1.12,0.21306914677571784,0.353918395372771
1.13,0.21068555173601533,0.35041933529591074
1.1400000000000006,0.20830779004710823,0.34695818924453925
1.1500000000000004,0.20593626871997464,0.343534692322301
1.1600000000000001,0.20357138829075938,0.3401485696411225
1.17,0.2012135427351974,0.3367995372470481
1.1799999999999997,0.19886311938727594,0.3334873029868984
1.1900000000000004,0.19652049886213643,0.3302115673194063
1.2000000000000002,0.19418605498321292,0.3269720240742557
1.21,0.19186015471359938,0.32376836116222046
1.2199999999999998,0.1895431580916403,0.3206002612394141
1.2300000000000004,0.18723541817072945,0.3174674023284537
1.2400000000000002,0.18493728096330525,0.3143694583991797
1.25,0.18264908538902191,0.31130609991139424
1.2599999999999998,0.18037116322708038,0.30827699432194094
1.2700000000000005,0.17810383907269348,0.3052818065582919
1.2800000000000002,0.1758474302976623,0.3023201994606817
1.29,0.173602247015033,0.29939183419469506
1.2999999999999998,0.1713685920478074,0.29649637063610507
1.3100000000000005,0.1691467609016723,0.29363346772964116
1.3200000000000003,0.16693704174171375,0.2908027838232682
1.33,0.1647397153730768,0.28800397697945573
1.3399999999999999,0.16255505522553418,0.28523670526483413
1.3500000000000005,0.1603833273419195,0.28250062701954193
1.3600000000000003,0.15822479037038298,0.27979540110749446
1.37,0.15607969556042084,0.27712068714872506
1.38,0.15394828676263372,0.27447614573488743
1.3900000000000006,0.15183080043216157,0.271861438628934
1.4000000000000004,0.1497274656357448,0.2692762289499326
1.4100000000000001,0.14763850406235568,0.266720181343916
1.42,0.1455641300373476,0.2641929621416184
1.4299999999999997,0.14350455054006248,0.26169423950388915
1.4400000000000004,0.1414599652248387,0.25922368355553577
1.4500000000000002,0.13943056644536023,0.2567809665083006
1.46,0.13741653928228179,0.25436576277363143
1.4699999999999998,0.13541806157407132,0.25197774906587267
1.4800000000000004,0.1334353039510022,0.24961660449646186
1.4900000000000002,0.13146842987223098,0.24728201065968552
1.5,0.12951759566589174,0.24497365171050992
1.5099999999999998,0.12758295057214192,0.2426912144349815
1.5200000000000005,0.12566463678908804,0.24043438831365258
1.5300000000000002,0.12376278952152307,0.23820286557846956
1.54,0.12187753703240178,0.23599634126352725
1.5499999999999998,0.12000900069698565,0.2338145132500785
1.5600000000000005,0.11815729505958221,0.2316570823061569
1.5700000000000003,0.11632252789280702,0.22952375212115664
1.58,0.11450480025929236,0.2274142293356857
1.5899999999999999,0.1127042065757706,0.22532822356700008
1.6000000000000005,0.11092083467945546,0.22326544743029894
1.6100000000000003,0.10915476589664731,0.2212256165561519
1.62,0.1074060751134838,0.21920844960430766
1.63,0.10567483084876363,0.21721366827412492
1.6400000000000006,0.1039610953287641,0.21524099731184704
1.6500000000000004,0.10226492456397797,0.21329016451493302
1.6600000000000001,0.10058636842769055,0.2113609007336412
1.67,0.09892547073632371,0.20945293987005495
1.6799999999999997,0.09728226933146754,0.20756601887472537
1.6900000000000004,0.09565679616352393,0.20569987774109666
1.7000000000000002,0.0940490773768869,0.20385425949787145
1.71,0.09245913339658068,0.2020289101994609
1.7199999999999998,0.0908869790162829,0.2002235789146612
1.7300000000000004,0.08933262348765493,0.1984380177136837
1.7400000000000002,0.0877960706109056,0.1966719816536648
1.75,0.08627731882651153,0.19492522876276652
1.7599999999999998,0.084776361308022255,0.19319752002298152
1.7700000000000005,0.08329318605587441,0.19148861935174127
1.7800000000000002,0.08182777599214276,0.18979829358242578
1.79,0.08038010905615417,0.18812631244386332
1.7999999999999998,0.07895015830089418,0.18647244853890818
1.8100000000000005,0.07753789199013392,0.18483647732217373
1.8200000000000003,0.07614327369620728,0.1832181770769988
1.83,0.0747662623983676,0.18161732889171522
1.8399999999999999,0.07340681258165692,0.18003371663528617
1.8500000000000005,0.07206487433621792,0.17846712693237565
1.8600000000000003,0.07074039345698334,0.17691734913790938
1.87,0.06943331154367419,0.17538417531118045
1.88,0.06814356610104458,0.1738674001895535
1.8900000000000006,0.06687109063930707,0.1723668211618149
1.9000000000000004,0.06561581477467655,0.1708822382412153
1.9100000000000001,0.06437766432996934,0.16941345403824543
1.92,0.06315656143519865,0.16796027373318817
1.9299999999999997,0.06195242462810519,0.16652250504848207
1.9400000000000004,0.060765168954564734,0.1650999582209322
1.9500000000000002,0.059594706068816054,0.16369244597380245
1.96,0.05844094433345147,0.1622997834888169
1.9699999999999998,0.05730378891911715,0.1609217883781032
1.9800000000000004,0.05618314190386799,0.15955828065610148
1.9900000000000002,0.05507890237212574,0.158209082711466
2,0.05399096651318806,0.1568740192789811
2.01,0.05291922771924031,0.15555291741151528
2.0200000000000005,0.05186357668282051,0.15424560645203217
2.0300000000000002,0.05082390149369116,0.15295191800567862
2.04,0.049800087735070775,0.1516716859119656
2.05,0.048792018579182764,0.15040474621706035
2.0600000000000005,0.047799574882076964,0.14915093714620395
2.0700000000000003,0.04682263527768312,0.14791009907626793
2.08,0.04586107627105489,0.14668207450846335
2.09,0.0449147723307671,0.14546670804121456
2.1000000000000005,0.043983595980427156,0.1442638463432081
2.1100000000000003,0.0430674178892657,0.14307333812662779
2.12,0.04216610696177031,0.14189503412058352
2.13,0.04127953042633042,0.14072878704474456
2.1400000000000006,0.04040755392286025,0.13957445158318368
2.1500000000000004,0.039550041589370186,0.13843188435843976
2.16,0.03870685614745561,0.13730094390580455
2.17,0.03787785898667748,0.13618149064784094
2.1799999999999997,0.0370629102478065,0.1350733868691364
