x,norm_cdf,norm_density,mixture_density,norm_density_one_two
6.9,0.9999999999973999,1.830332217015573e-11,2.317256604673274e-6,0.0025713204615269696
6.950000000000001,0.9999999999981736,1.2946591938319093e-11,1.8114615180569728e-6,0.0023877632885457773
7,0.9999999999987201,9.134720408364594e-12,1.4125322109490561e-6,0.0022159242059690038
7.050000000000001,0.9999999999991054,6.429087290753616e-12,1.0987069495911467e-6,0.0020551669082662784
7.100000000000001,0.9999999999993762,4.513543677205464e-12,8.524710647780339e-7,0.0019048810491109
7.15,0.9999999999995661,3.160823461469059e-12,6.597686656397959e-7,0.0017644818276568795
7.200000000000001,0.9999999999996989,2.2079899631371263e-12,5.093519680997181e-7,0.0016334095280999578
7.25,0.9999999999997916,1.538537950561275e-12,3.9224602862973615e-7,0.001511129017599378
7.300000000000001,0.9999999999998561,1.0693837871541581e-12,3.0130988908018364e-7,0.001397129207439721
7.350000000000001,0.9999999999999009,7.414352699704261e-13,2.308779617880593e-7,0.0012909224821061056
7.4,0.9999999999999319,5.127753636796662e-13,1.7646794885119803e-7,0.0011920441007324202
7.450000000000001,0.9999999999999534,3.537490847609861e-13,1.345437287436606e-7,0.0011000515751635638
7.5,0.9999999999999681,2.4343205330290096e-13,1.0232349016420366e-7,0.001014524028649884
7.550000000000001,0.9999999999999782,1.6709923570383645e-13,7.762497878653875e-8,9.350615389668235e-4
7.600000000000001,0.9999999999999852,1.1441564901801236e-13,5.8741077372075214e-8,8.612844695268383e-4
7.65,0.9999999999999899,7.814670251770007e-14,4.4340091463943005e-8,7.928327918247276e-4
7.700000000000001,0.9999999999999932,5.324148372252916e-14,3.338608735588877e-8,7.293654023333716e-4
7.75,0.9999999999999954,3.618294451112517e-14,2.5075449677124016e-8,6.705594367451889e-4
7.800000000000001,0.9999999999999969,2.4528552856964147e-14,1.8786513905572987e-8,6.161095842365088e-4
7.850000000000001,0.9999999999999979,1.6586479270622935e-14,1.4039703315114559e-8,5.657274042186026e-4
7.9,0.9999999999999986,1.1187956214351806e-14,1.046607701981065e-8,5.191406478307052e-4
7.950000000000001,0.9999999999999991,7.527687289030926e-15,7.782590617145526e-9,4.760925862281339e-4
8,0.9999999999999993,5.052271083536893e-15,5.772696295617104e-9,4.363413475228801e-4
