x,norm_cdf,norm_density,mixture_density,norm_density_one_two
-5.8,3.3157459783261654e-9,1.9773196406244698e-8,2.33045780694018e-14,6.1610958423651e-4
-5.75,4.4621724539016125e-9,2.6392432035705735e-8,3.4377415580020027e-14,6.705594367451889e-4
-5.699999999999999,5.9903714010635585e-9,3.513955094820452e-8,5.0584733684775654e-14,7.293654023333736e-4
-5.65,8.022391850663497e-9,4.666886797594254e-8,7.424718206206683e-14,7.928327918247276e-4
-5.6,1.071759025831093e-8,6.182620500165857e-8,1.08706308132015e-13,8.612844695268406e-4
-5.55,1.4283479893922762e-8,8.17019037854322e-8,1.5876098384221608e-13,9.350615389668252e-4
-5.5,1.898956246588772e-8,1.0769760042543276e-7,2.312847938430862e-13,0.001014524028649884
-5.449999999999999,2.518491005446125e-8,1.4161007130161237e-7,3.3609700543141733e-13,0.0011000515751635666
-5.4,3.332044848542851e-8,1.8573618445552894e-7,4.871878730320508e-13,0.0011920441007324202
-5.35,4.397711594005899e-8,2.430038541080534e-7,7.04437649998911e-13,0.001290922482106109
-5.3,5.790134039964592e-8,3.171349216715978e-7,1.016021536175172e-12,0.0013971292074397236
-5.25,7.604960516488713e-8,4.1284709886299984e-7,1.4617649068282677e-12,0.001511129017599378
-5.199999999999999,9.96442631693352e-8,5.361035344697641e-7,2.097811263976614e-12,0.0016334095280999624
-5.15,1.3024322953320133e-7,6.944202353855341e-7,3.0030983707417847e-12,0.0017644818276568795
-5.1,1.6982674071476014e-7,8.972435162383346e-7,4.288317847713225e-12,0.0019048810491109052
-5.05,2.2090503226954353e-7,1.1564119035797828e-6,6.108275834947085e-12,0.00205516690826628
-5,2.866515718791939e-7,1.4867195147342977e-6,8.678897860002558e-12,0.0022159242059690038
-4.949999999999999,3.710674079633344e-7,1.9066009031228175e-6,1.2300557000708358e-11,0.002387763288545784
-4.9,4.79183276590319e-7,2.438960745893352e-6,1.738998639463903e-11,0.0025713204615269696
-4.85,6.173073720091976e-7,3.1121755791489445e-6,2.4523811564807717e-11,0.002767258351390251
-4.8,7.933281519755952e-7,3.961299091032075e-6,3.449776526176899e-11,0.002976266209887927
-4.75,1.0170832425687034e-6,5.029507288592445e-6,4.840700575215812e-11,0.0031990601553617782
-4.699999999999999,1.3008074539172864e-6,6.369825178867124e-6,6.775474972280038e-11,0.003436383345306989
-4.65,1.6596751443714612e-6,8.047182456492295e-6,9.459878375216065e-11,0.003689006074323395
-4.6,2.1124547025028537e-6,1.0140852065486758e-5,1.3174850419123428e-10,0.003957725791489984
-4.55,2.682295779638856e-6,1.2747332381833466e-5,1.8302918780303073e-10,0.00424336703111936
-4.5,3.39767312473006e-6,1.5983741106905475e-5,2.536355824019268e-10,0.0045467812507955264
-4.449999999999999,4.2935144699718826e-6,1.999179670692286e-5,3.506043957571468e-10,0.004868846570572004
-4.4,5.412543907703849e-6,2.4942471290053535e-5,4.834470455226399e-10,0.005210467407211296
-4.35,6.806876599334062e-6,3.1041407057850266e-5,6.650075977371584e-10,0.005572573997382407
-4.3,8.539905470991811e-6,3.853519674208713e-5,9.126728993100172e-10,0.00595612180380259
-4.25,1.0688525774934417e-5,4.771863654120495e-5,1.250256417623415e-9,0.006362090798415716
-4.199999999999999,1.3345749015906375e-5,5.894306775654006e-5,1.7115214901142602e-9,0.006791484616842817
-4.15,1.6623763729652223e-5,7.262593030225232e-5,2.3484254816329137e-9,0.007245329578524219
-4.1,2.065750691254677e-5,8.926165717713293e-5,3.2538810998159274e-9,0.007724673567197587
-4.05,2.5608816474041503e-5,1.0943404343980055e-4,4.62921555767532e-9,0.008230584766623635
-4,3.1671241833119924e-5,1.3383022576488537e-4,6.9854425124418335e-9,0.00876415024678427
-3.95,3.907559659778749e-5,1.63256408766242e-4,1.1729320619831993e-8,0.009326474396134952
-3.8999999999999995,4.809634401760283e-5,1.9865547139277307e-4,2.2806587538141893e-8,0.009918677195897669
-3.8499999999999996,5.905891241892262e-5,2.4112658022599367e-4,5.1112645732438686e-08,0.01054189233283206
-3.8,7.234804392512006e-5,2.9194692579146027e-4,1.2579277938573813e-7,0.01119726514742145
-3.75,8.841728520080388e-5,3.525956823674454e-4,3.218246648180902e-7,0.011885950414956903
-3.7,1.0779973347738828e-4,4.2478027055075143e-4,8.240613859258892e-7,0.012609109957597191
-3.6499999999999995,1.3112015442048484e-4,5.104649743441865e-4,2.068454163735121e-6,0.013367910086124127
-3.5999999999999996,1.591085901575341e-4,6.11901930113773e-4,5.037258346866802e-6,0.014163518870800593
-3.55,1.9261557563563338e-4,7.316644628303109e-4,1.1842661302991946e-5,0.014997103241472656
-3.5,2.3262907903552494e-4,8.726826950457602e-4,2.6814836552835353e-5,0.01586982591783371
-3.45,2.802932768161772e-4,0.0010382812956614103,5.840715011671904e-5,0.01678284217158877
-3.3999999999999995,3.3692926567688156e-4,0.001232219168473021,1.223120931995612e-4,0.01773729642311573
-3.3499999999999996,4.040578018640216e-4,0.0014587308046667472,2.461818239890042e-4,0.018734318676116902
