t,s,trend
0.216,102.22861618191347,102.07913437007517
0.218,102.22455791470792,102.09958009331154
0.22,103.17781182046531,102.12002500489449
0.222,102.89505877731614,102.14066056725858
0.224,103.68998634162993,102.16123957901404
0.226,102.96832151691021,102.18197757628236
0.228,100.4650562162806,102.20257124058574
0.23,102.26046604384739,102.222664251829
0.232,105.06097377291694,102.24311634503778
0.234,104.50174269828192,102.26412853979237
0.23600000000000002,102.17976322590754,102.28502888833202
0.23800000000000002,103.37411813286705,102.30546484097721
0.24000000000000002,103.31211626427492,102.32613966460379
0.242,100.1296119974438,102.34680208785664
0.244,100.15345644923983,102.36682801025613
0.246,99.04424138093344,102.38685870154598
0.248,98.45993667511691,102.40666754982216
0.25,96.44255210250505,102.42635953715718
0.252,99.57265136022639,102.44564804757768
0.254,99.00275028300243,102.46556257784972
0.256,96.17916243827455,102.48536312790633
0.258,96.53767059999599,102.50459896039398
0.26,97.01146098737952,102.52390649451398
0.262,95.32006576448522,102.54330878671145
0.264,90.41312374948907,102.56237279986435
0.266,89.39531744749799,102.58045542461424
0.268,90.32552496848561,102.59833448810375
0.27,90.24708967517893,102.61639959309744
0.272,90.10664040696321,102.63444901103247
0.274,91.02863553611029,102.65247033911386
0.276,89.11484792353951,102.67067606622108
0.278,90.88108141534481,102.68849903580579
0.28,90.89056968342736,102.70667525208886
0.28200000000000003,92.05876416806237,102.72485336602554
0.28400000000000003,93.78014168105162,102.74326511885916
0.28600000000000003,94.17380625751044,102.76202114719537
0.28800000000000003,92.71234182707867,102.78085590844687
0.29000000000000004,94.65964797401843,102.79939837681228
0.292,91.29165407723355,102.81833030640708
0.294,90.42022840414268,102.83658863722252
0.296,90.02476860141022,102.85467268290334
0.298,89.77525024107959,102.87267763662362
0.3,91.43201777258945,102.89063268667184
0.302,91.67310675060085,102.90891909022635
0.304,92.35915486813538,102.92725371157647
0.306,92.26254505173327,102.9457255425501
0.308,91.87224178576201,102.96417805156044
0.31,93.03372659611257,102.98255249991759
0.312,94.95993000977926,103.0011592452368
0.314,90.8967947855333,103.02015123123876
0.316,91.84625513134036,103.03833059019587
0.318,92.48029499372997,103.05669984122214
0.32,91.79525458180636,103.07519590022089
0.322,93.37525600961831,103.09355495113725
0.324,92.74376976237788,103.11223000233917
0.326,92.29059945054759,103.13077875629165
0.328,93.72459346988248,103.14923687618176
0.33,96.62645949493925,103.16798179487574
0.332,97.11257648028216,103.18730708677474
0.334,96.39857984460774,103.2067296020708
0.336,94.3673166602311,103.22600931803971
0.338,93.82737537808686,103.24488278137176
0.34,92.26869830853306,103.26364825644737
0.342,91.85977018620416,103.28210199610908
0.34400000000000003,92.52620078825382,103.30047395014631
0.34600000000000003,91.13474709813552,103.31897919030396
0.34800000000000003,95.47182582055517,103.33720613972359
0.35000000000000003,95.75736502863006,103.3563005048877
0.35200000000000004,97.71251613951269,103.37545197789342
0.354,93.73081957351388,103.39499448112132
0.356,94.99200821176713,103.41374064503601
0.358,92.77435240882458,103.43273904667836
0.36,94.31941168600794,103.45129391716013
0.362,95.0100154691808,103.47015779949733
0.364,94.33638563799833,103.48915980259116
0.366,96.58999307647888,103.50802707971876
0.368,95.39768490345513,103.52734507833405
0.37,94.42593122778351,103.54642461531475
0.372,92.75386293907707,103.5653098015603
0.374,91.66375069187735,103.58386057414812
0.376,93.23193253060342,103.60219332428649
0.378,93.97390021058798,103.62083971079261
0.38,95.68242415751084,103.63963449083472
0.382,95.03382603210062,103.65877097566623
0.384,95.6926686018009,103.67777774087266
0.386,96.12976926257959,103.69691627459302
0.388,93.69637229777476,103.71614222844553
0.39,96.69592207175914,103.73488150290508
0.392,96.94782199538517,103.75422068731943
0.394,98.29495572922927,103.77361025171851
0.396,99.99408275653218,103.79326924286435
