date,fx_rate,ccy
2021-10-28,69.8104,USD
2021-10-27,69.5526,USD
2021-10-26,70.1345,USD
2021-10-23,70.8623,USD
2021-10-22,70.9904,USD
2021-10-21,71.0555,USD
2021-10-20,70.9674,USD
2021-10-19,71.1714,USD
2021-10-16,71.2371,USD
2021-10-15,71.7846,USD
2021-10-14,71.8577,USD
2021-10-13,71.8801,USD
2021-10-12,71.6373,USD
2021-10-09,71.9882,USD
2021-10-08,72.2854,USD
2021-10-07,72.5682,USD
2021-10-06,72.5686,USD
2021-10-05,72.9239,USD
2021-10-02,72.9215,USD
2021-10-01,72.6642,USD
2021-09-30,72.7608,USD
2021-09-29,72.5083,USD
2021-09-28,72.6613,USD
2021-09-25,73.0081,USD
2021-09-24,72.7245,USD
2021-09-23,72.8806,USD
2021-09-22,73.2067,USD
2021-09-21,73.3315,USD
2021-09-18,72.5602,USD
2021-09-17,72.4329,USD
2021-09-16,72.852,USD
2021-09-15,72.7171,USD
2021-09-14,73.0841,USD
2021-09-11,72.76,USD
2021-09-10,73.129,USD
2021-09-09,73.4421,USD
2021-09-08,73.1909,USD
2021-09-07,72.9538,USD
2021-09-04,72.8545,USD
2021-09-03,72.8491,USD
2021-09-02,73.1912,USD
2021-09-01,73.2781,USD
2021-08-31,73.5744,USD
2021-08-28,73.9866,USD
2021-08-27,73.9908,USD
2021-08-26,73.7428,USD
2021-08-25,73.9465,USD
2021-08-24,74.0666,USD
2021-08-21,74.364,USD
2021-08-20,74.1503,USD
2021-08-19,73.4633,USD
2021-08-18,73.4753,USD
2021-08-17,73.392,USD
2021-08-14,73.4721,USD
2021-08-13,73.5671,USD
2021-08-12,73.9695,USD
2021-08-11,73.5962,USD
2021-08-10,73.5078,USD
2021-08-07,73.1304,USD
2021-08-06,73.168,USD
2021-08-05,72.7857,USD
2021-08-04,72.8724,USD
2021-08-03,73.0156,USD
2021-07-31,73.1388,USD
2021-07-30,73.1904,USD
2021-07-29,73.6088,USD
2021-07-28,73.8471,USD
2021-07-27,74.098,USD
2021-07-24,73.7663,USD
2021-07-23,73.6945,USD
2021-07-22,74.4947,USD
2021-07-21,74.491,USD
2021-07-20,74.3463,USD
2021-07-17,74.1656,USD
2021-07-16,74.2197,USD
2021-07-15,74.1236,USD
2021-07-14,74.0589,USD
2021-07-13,74.6336,USD
2021-07-10,74.4675,USD
2021-07-09,75.1952,USD
2021-07-08,74.058,USD
2021-07-07,73.266,USD
2021-07-06,73.354,USD
2021-07-03,73.6175,USD
2021-07-02,72.9086,USD
2021-07-01,72.7234,USD
2021-06-30,72.3723,USD
