date,benchmark_growth,risk_free_growth,personal_growth,green_growth,yellow_growth,red_growth
2018-09-30,1.6529084086501153,1.3116935011237716,1.4732865468999994,1.4687515059390794,1.4626814303562885,1.706393340242897
2018-10-31,1.581259442111335,1.3200488090418887,1.4240981609999994,1.417039451129093,1.4013984942151292,1.6485921762470428
2018-11-30,1.6080011400059517,1.328186096220914,1.453231126599999,1.4494204113778084,1.3967260093914158,1.6590595019798553
2018-12-31,1.599742917094398,1.3366464597105403,1.4413130747999991,1.4270437056221263,1.4092139914446151,1.6452104759626875
2019-01-31,1.706180335329933,1.3454445230515117,1.5463337264999988,1.5274648866638851,1.48475450876207,1.7508304764941929
2019-02-28,1.6822577679375863,1.3534434672022564,1.578052607999999,1.5002333775304937,1.46715651895236,1.7098016157750664
2019-03-31,1.6902653349724548,1.3623520916678822,1.630611008799999,1.5073723893040114,1.46095781294269,1.7029452018390063
2019-04-30,1.732382769446237,1.3710300878682324,1.621900274599999,1.5561572427580679,1.5203856890057268,1.7507407850328198
2019-05-31,1.8127517072240031,1.3800544708438582,1.579276040699999,1.6186969134961056,1.579557646665397,1.8024761487150862
2019-06-30,1.9116838301718126,1.3888452287745758,1.6802394117999988,1.71486360150408,1.656905384504628,1.8960509181748115
2019-07-31,1.938089052620745,1.3976919826290988,1.740948283599999,1.7325644954983606,1.696939197317269,1.9341996864120752
2019-08-31,1.9384709354813436,1.4062983188783014,1.7959939703999988,1.7317177274673647,1.669747286382447,1.9331931489011127
2019-09-30,1.9495518980585247,1.4146783157099734,1.8082782865999987,1.735650035591794,1.6667937743552108,1.9251242392835306
2019-10-31,2.0686844634920285,1.4230888689841943,1.8498433276999988,1.8350633561478797,1.752907298086882,2.0160813468335586
2019-11-30,2.0982712017845477,1.4306916725308223,1.8845200131999988,1.8606990861789554,1.77605514089446,2.0347604241409543
2019-12-31,2.193758935999605,1.4385898745038348,1.9429720739999992,1.9363918869984615,1.8382080138223802,2.112682372638124
2020-01-31,2.2192379495688037,1.4462262248650708,2.055889445699999,1.950219677787553,1.8863908073737938,2.1541929097238826
2020-02-29,2.0095452190262475,1.453407827694024,1.9343662963999992,1.7529750471918275,1.7053069395224403,1.9434412288394582
2020-03-31,1.8122444740897308,1.4608142347063824,1.8146692161999993,1.5278407690581317,1.507318058735828,1.771333280182837
2020-04-30,1.9146384047783749,1.4680182501104138,1.887041197799999,1.623511787974792,1.6105850824187304,1.8336754896489402
2020-05-31,1.9872811160583326,1.4748757052239432,1.9312752803999989,1.6926011750111174,1.6475845668662301,1.870844295623056
2020-06-30,2.001116496446052,1.4815429515626268,1.924230397899999,1.7154487664035485,1.690975508933921,1.926831698955592
2020-07-31,2.1672680159889133,1.4872052869528458,2.015703270699999,1.8663152923552675,1.897659112971022,2.0681621887374093
2020-08-31,2.209765241510405,1.4925734868584906,2.030677404899999,1.8979348498053805,1.9529686070328791,2.0999362194052447
2020-09-30,2.166541893357795,1.497787270956421,1.996548446399999,1.837969904625005,1.8493592750681598,2.043606659757101
2020-10-31,2.0353985071950724,1.5031936674755582,1.8929650851999988,1.7378598936239051,1.7698332117991853,1.9610971591060076
2020-11-30,2.351112240834765,1.5084445494646854,2.079563281399999,1.9752013999898106,2.024441833137485,2.209808259587019
2020-12-31,2.499069920400404,1.5138894143795338,2.143129608999999,2.06843400234892,2.135702242885608,2.3558458901379242
2021-01-31,2.4927662047835186,1.5193539330191093,2.159970506277299,2.075016763253296,2.179394156142739,2.398957585904487
2021-02-28,2.545679301469491,1.5243074431021029,2.198370954466369,2.101824199941896,2.2609726757174777,2.4595624385447374
2021-03-31,2.6943422886383606,1.5501997887109606,2.316474119686029,2.2057605009562273,2.3483630046957082,2.6081512928858044
2021-04-30,2.6965287578142156,1.5559334043678368,2.271360354221819,2.1843021598780648,2.333971658546328,2.5414274894363373
2021-05-31,2.87526425807645,1.5625407927973443,2.315222451165559,2.2869786352853048,2.4181465190916986,2.6670652953838774
2021-06-30,2.9740405523863602,1.5689621933156894,2.3450745305837293,2.406480322625503,2.526941566072001,2.755952855510375
2021-07-31,2.9641971142004384,1.576291181095424,2.354177109275819,2.38409948629406,2.477003107248854,2.7528800924818597
2021-08-31,3.080030198773882,1.584993172136266,2.498745799729989,2.444608290616295,2.5707347319823692,2.8594102952510005
2021-09-30,3.2335286934946748,1.5934609438778158,2.5377886799677896,2.5394173960575026,2.714904111879537,2.9702290786361556
2021-10-31,3.2823151815894938,1.6025960590149784,2.7413154098485095,2.5821000122540405,2.7623632740835014,3.0015446862791966
2021-11-30,3.077138065159427,1.6124750758171256,2.6690369226644295,2.407826890323575,2.5490336874079786,2.8235337107018497
2021-12-31,3.0216960334696963,1.622746321163084,2.7285964854727793,2.357944680575691,2.5263832830940585,2.8647818172154427
2022-01-31,2.829698494511307,1.6344612158377818,2.756942442509489,2.214696313185761,2.3652777713269213,2.611506417922345
2022-02-28,1.9801656897276998,1.645118798560231,2.330500344463889,1.5356186432160106,1.4957353125595096,1.7039052326662931
2022-03-31,2.1669482004902365,1.6569952041333984,3.0151766158177993,1.6801309667887936,1.7581492129696297,1.9890842169603213
