x,x1,x2,avg
-3.49,0.017971132954039633,1.671860255236507e-5,1.370500783336949e-4
-3.48,0.01842331064686205,1.7485501026639135e-5,1.4356861309837334e-4
-3.4699999999999998,0.018884977141856187,1.828574920954738e-5,1.5037713835130986e-4
-3.46,0.01935627673173696,1.9120709692817737e-5,1.5748754792063076e-4
-3.45,0.019837354391795313,1.999179670692279e-5,1.6491217525060002e-4
-3.44,0.020328355738225837,2.0900477900450482e-05,1.726638074559464e-4
-3.4299999999999997,0.020829426985092204,2.184827617331647e-5,1.8075569973021615e-4
-3.42,0.021340714899922782,2.283677156514692e-5,1.8920159011305326e-4
-3.41,0.021862366757929387,2.38676032001796e-5,1.9801571462118545e-4
-3.4,0.0223945302948429,2.4942471290053535e-5,2.072128227477777e-4
-3.39,0.022937353658360693,2.606313919587825e-5,2.1680819333467398e-4
-3.38,0.023490985358201363,2.723143555099261e-5,2.268176508219202e-4
-3.37,0.02405557421476297,2.8449256445844305e-5,2.3725758187877555e-4
-3.36,0.024631269306382507,2.9718567676442307e-5,2.4814495242028603e-4
-3.35,0.025218219915194382,3.1041407057850266e-5,2.5949732501328e-4
-3.34,0.02581657547158769,3.241988680421378e-5,2.713328766754834e-4
-3.33,0.02642648549726172,3.385619597682789e-5,2.836704170712165e-4
-3.32,0.027048099546881785,3.5352603001773097e-05,2.965294071069434e-4
-3.31,0.027681567148336573,3.6911458258666067e-05,3.099299779296871e-4
-3.3,0.028327037741601186,3.853519674208713e-5,3.238929503310974e-4
-3.29,0.028984660616209412,4.022634079726497e-5,3.3843985455967975e-4
-3.2800000000000002,0.02965458484734125,4.198750293161732e-5,3.5359295054343705e-4
-3.27,0.030336959230531636,4.382138870375812e-5,3.6937524852486526e-4
-3.26,0.03103193221500827,4.5730799691601314e-5,3.858105301099516e-4
-3.25,0.03173965183566742,4.771863654120495e-5,4.0292336973250223e-4
-3.24,0.032460265643697445,4.978790209801209e-5,4.207391565347876e-4
-3.23,0.03319392063586112,5.194170462215977e-5,4.3928411666513016e-4
-3.2199999999999998,0.033940763182449214,5.4183261089540144e-5,4.5858533599270736e-4
-3.21,0.03470093895391882,5.651590058030741e-5,4.786707832394479e-4
-3.2,0.035474592846231424,5.8943067756539855e-5,4.995693335284976e-4
-3.19,0.03626186890490622,6.146832643076943e-5,5.213107923483e-4
-3.1799999999999997,0.0370629102478065,6.40953632271061e-5,5.439259199309187e-4
-3.17,0.03787785898667748,6.682799133669061e-5,5.674464560427647e-4
-3.16,0.03870685614745561,6.967015436921433e-5,5.919051451854099e-4
-3.15,0.03955004158937022,7.262593030225232e-5,6.173357622036866e-4
-3.14,0.04040755392286031,7.569953553016094e-5,6.437731382977598e-4
-3.13,0.04127953042633042,7.889532901429309e-5,6.712531874353402e-4
-3.12,0.04216610696177031,8.2217816536286e-5,6.9981293315963e-4
-3.11,0.043067417889265734,8.567165505618216e-5,7.294905357880832e-4
-3.1,0.04398359598042719,8.926165717713293e-5,7.603253199963963e-4
-3.09,0.0449147723307671,9.299279571844591e-5,7.92357802781645e-4
-3.08,0.04586107627105489,9.687020839871926e-5,8.256297217977471e-4
-3.07,0.04682263527768316,1.0089920263081441e-4,8.601840640559126e-4
-3.06,0.047799574882077034,1.050852604304001e-4,8.960650949819442e-4
-3.05,0.048792018579182764,1.0943404343980055e-4,9.33318387821727e-4
-3.04,0.049800087735070775,1.1395139806886461e-4,9.71990853385386e-4
-3.0300000000000002,0.05082390149369116,1.1864336075456578e-4,0.0010121307701200328
-3.02,0.051863576682820565,1.2351616334102368e-4,0.0010537878145001403
-3.01,0.05291922771924031,1.2857623858162108e-4,0.0010970130917239427
-3,0.05399096651318806,1.3383022576488537e-4,0.0011418591667034191
-2.99,0.05507890237212574,1.3928497646575994e-4,0.0011883800953346683
-2.98,0.05618314190386805,1.4494756042389106e-4,0.0012366314560346156
-2.9699999999999998,0.05730378891911715,1.5082527155051807e-4,0.001286670381529242
-2.96,0.05844094433345147,1.5692563406553226e-4,0.0013385555908776148
-2.95,0.059594706068816054,1.63256408766242e-4,0.0013923474217151825
-2.94,0.060765168954564776,1.6982559942934359e-4,0.0014481078626988628
-2.9299999999999997,0.06195242462810519,1.7664145934757122e-4,0.0015059005861356267
-2.92,0.06315656143519865,1.837124980024571e-4,0.0015657909807752948
-2.91,0.06437766432996934,1.9104748787459762e-4,0.0016278461847474294
-2.9,0.0656158147746766,1.9865547139277272e-4,0.0016921351186211153
-2.8899999999999997,0.06687109063930718,2.0654576802322586e-4,0.001758728518565626
-2.88,0.06814356610104458,2.1472798150036704e-4,0.001827698969588897
-2.87,0.06943331154367419,2.2321200720010206e-4,0.001899120938829781
-2.86,0.0707403934569834,2.3200803965694238e-4,0.0019730708088790197
-2.8499999999999996,0.07206487433621804,2.4112658022599367e-4,0.002049626911102929
-2.84,0.07340681258165692,2.5057844489086075e-4,0.0021288695589427005
-2.83,0.0747662623983676,2.6037477221844247e-4,0.0022108810811612514
