date,benchmark_growth,strategy_growth,mkt_growth,rf_growth
1972-09-30,15.361978342894504,16.7565913295477,57.67847900907625,2.4732373371843948
1972-10-31,15.463367399957606,16.852259053749545,58.20912101595976,2.4831302865331324
1972-11-30,15.876239309536475,17.165835903697833,61.10211433045296,2.4923178685933047
1972-12-31,15.98419773684132,17.262115580537323,61.70702526232444,2.5015394447071
1973-01-31,15.791588154112382,17.176368418907057,59.9483750423482,2.5125462182638114
1973-02-28,15.473387652807018,16.982605464703678,57.28666719046794,2.522847657758693
1973-03-31,15.443988216266685,16.985089956984627,56.805459186068006,2.5344527569843827
1973-04-30,15.085687689649298,16.684831311189487,53.8742974920669,2.547631911320702
1973-05-31,14.940865087828664,16.559857289993314,52.56515206300968,2.5606248340684377
1973-06-30,14.900524752091526,16.527703567088576,52.01321796634807,2.573684020722187
1973-07-31,15.372126360495223,16.969658951501295,54.972770068633274,2.590155598454809
1973-08-31,15.18612363153323,16.807842254545708,53.25761964249192,2.608286687643992
1973-09-30,15.65005970847657,17.300992905843376,56.14950838907923,2.626023037119971
1973-10-31,15.686837348791492,17.342979852515796,56.048439273978886,2.6430921868612507
1973-11-30,14.774647756959267,16.196283703392268,49.216134526480865,2.657893503107674
1973-12-31,14.914268178262532,16.3578003927964,49.83133620806188,2.674904021527563
1974-01-31,14.995550939834061,16.4450192757241,50.06056035461896,2.6917559168631864
1974-02-28,15.047285590576488,16.494419047747495,50.11562697100903,2.707368101180993
1974-03-31,14.920136027336117,16.31856257726112,48.98802536416133,2.722529362547607
1974-04-30,14.637399449618098,15.933391616207182,46.76396901262841,2.742948332766714
1974-05-31,14.404664798369168,15.59547093568012,44.92614503043211,2.7635204452624644
1974-06-30,14.28726678026246,15.416263812365747,43.92429199625347,2.7801015679340395
1974-07-31,13.812215159818734,14.693965461221792,40.69585653452884,2.7995622789095775
1974-08-31,13.24936739205612,13.840763077820663,37.13496908775757,2.816359652583035
1974-09-30,12.576961996909274,12.742392799544303,33.064976475739336,2.8391721657689573
1974-10-31,13.653549943844705,14.331776230306351,38.557069068359645,2.8536519438143793
1974-11-30,13.41939156230777,13.928884123654246,37.026353426345764,2.869061664310977
1974-12-31,13.281842798794115,13.627043270127418,36.00812870712126,2.8891450959611538
1975-01-31,14.266027350184759,15.1107885472238,41.13568623501533,2.9059021375177285
1975-02-28,14.72396682812569,15.776712603617426,43.59971384049275,2.918397516709055
1975-03-31,14.980163850935078,16.130885193501413,44.938225055395876,2.930362946527562
1975-04-30,15.362907037326469,16.65043412077544,47.03684016548286,2.943256543492283
