date,mkt_rf,smb,hml,mom
1996-07-31,1.1635042372394522,1.0507514440230992,1.2453898074906924,1.208102277714422
1996-08-31,1.159431972409114,1.0626249353405604,1.2328113704350363,1.2340764766852823
1996-09-30,1.1808814638986826,1.031808812215684,1.2342907440795587,1.2523408085402243
1996-10-31,1.1616330960371342,1.0503813708355663,1.2381170453862052,1.280142774489817
1996-11-30,1.1955527824414185,1.0269578662659333,1.25384113186261,1.2984488161650216
1996-12-31,1.1728372795750315,1.0215149895747238,1.2696395301240788,1.3180553932891133
1997-01-31,1.1259237883920301,1.0440904708443253,1.2923660777133,1.3506113615033541
1997-02-28,1.13583191772988,1.0457610155976762,1.2893936357345592,1.3547982567240149
1997-03-31,1.125041514511446,1.0282968066371951,1.3111843881784733,1.3713267954560477
1997-04-30,1.1260540518745064,1.004440320723212,1.3103976775455661,1.4204202947333744
1997-05-31,1.2097198679287822,0.9959025779970648,1.30188009264152,1.4101932686112941
1997-06-30,1.2582296346327264,0.9620418903451646,1.3099517492158974,1.405680650151738
1997-07-31,1.266408127257839,0.914805633529217,1.303401990469818,1.5178539660338468
1997-08-31,1.1785194032261448,0.9539593146442674,1.3050964130574287,1.530148583158721
1997-09-30,1.233202703535838,0.9018731360646904,1.2868250632746248,1.6470519349120472
1997-10-31,1.1433022264480757,0.9268550219336824,1.2909429034771036,1.6029109430564044
1997-11-30,1.1167776147944801,0.8806976418413851,1.2711914770539041,1.6772860108142216
1997-12-31,1.1082901049220422,0.8455578059319138,1.2685219749520908,1.7837936725009245
1998-01-31,1.1508484449510485,0.8453886943707274,1.283236829861535,1.6953175063448787
1998-02-28,1.2201295213371015,0.8486011714093362,1.3036402954563338,1.6612416244673465
1998-03-31,1.2547811997430751,0.8461402280122491,1.3393600395518372,1.7398183533046516
1998-04-30,1.2618079744616366,0.8507939992663166,1.3281094152196018,1.7610441372149686
1998-05-31,1.256886923361236,0.8546225722630149,1.3429842406700616,1.7937995581671669
1998-06-30,1.2469575166666824,0.8284711215517667,1.3331804557131701,1.8259085702583593
1998-07-31,1.2483291699350159,0.8035341407930585,1.3314473211207432,1.9142825450588639
1998-08-31,1.0979055049578463,0.8099624139194029,1.3086795719295783,1.9225139600026167
