target_return,std_dev,stocks,bonds
9.9,12.549236487181338,82.45614035087718,17.54385964912284
9.950000000000001,12.680869230634169,83.33333333333333,16.666666666666675
10,12.812614974823628,84.21052631578944,15.789473684210575
10.05,12.944470269466201,85.08771929824559,14.91228070175441
10.100000000000001,13.07643180062908,85.96491228070174,14.035087719298268
10.15,13.208496384195358,86.84210526315788,13.157894736842124
10.200000000000001,13.340660959693476,87.71929824561403,12.28070175438598
10.25,13.472922584467952,88.59649122807014,11.403508771929882
10.3,13.605278428170193,89.4736842105263,10.526315789473717
10.350000000000001,13.73772576754934,90.35087719298247,9.649122807017552
10.4,13.870261981524866,91.22807017543857,8.77192982456143
10.450000000000001,14.002884546523571,92.10526315789473,7.894736842105288
10.5,14.135591032064855,92.98245614035083,7.017543859649167
