month,long_rate,shiller_cape,real_rate_10y,cape_excess_yield,subsequent_stock_return_10y
2001-09-01,0.0473,27.6673925868625,0.020750908023012,0.01539272195081,0.006728987399655
2001-10-01,0.0457,28.5773731133601,0.01964635030021,0.015346369150707,0.00643920712841
2001-11-01,0.0465,30.0051038110568,0.020917882261778,0.012409781134991,0.003163881310184
2001-12-01,0.0509,30.4999532550205,0.02579765185669,0.0069892836392,0.003105455662052
2002-01-01,0.0504,30.277204433096,0.025214421459166,0.007813726902739,0.007890506810803
2002-02-01,0.0491,29.0857041520084,0.02388051268543,0.010500638782445,0.015422889034007
2002-03-01,0.0528,30.2921306409187,0.027521997061387,0.005489876941599,0.013213994035882
2002-04-01,0.0521,29.0058832531187,0.02639718368407,0.008078580810793,0.017068177540058
2002-05-01,0.0516,28.1281075086883,0.026044122010836,0.009507505473918,0.016905259625436
2002-06-01,0.0493,26.3876725411834,0.024053453707139,0.013843029904263,0.022153703784096
2002-07-01,0.0465,23.4631204674314,0.021358679914565,0.021261397043574,0.037123546768373
2002-08-01,0.0426,23.5887135288424,0.017409162825966,0.024983992645497,0.039179176192104
2002-09-01,0.0387,22.3650368012243,0.0136297219845,0.031082925210664,0.047080767227534
2002-10-01,0.0394,21.9562338636591,0.01452203151488,0.031023120090339,0.048511989709716
2002-11-01,0.0405,23.3483965027251,0.015766472095028,0.02706302156563,0.039308477859257
2002-12-01,0.0403,23.1014425376856,0.015720606240032,0.027566733863024,0.042685327215542
2003-01-01,0.0405,22.8983485766132,0.015972688468478,0.02769858313673,0.04744039538584
2003-02-01,0.039,21.2141021234153,0.014044828500211,0.033093626579452,0.056792613215519
2003-03-01,0.0381,21.309719026991,0.012888383174689,0.034038561227225,0.058617724612824
2003-04-01,0.0396,22.4279395777309,0.014896306758309,0.029690936600993,0.054582850447929
2003-05-01,0.0357,23.5910804534815,0.011305870900356,0.031083031209145,0.053484219096967
2003-06-01,0.0333,24.8322232595311,0.008936261855096,0.031333994639806,0.046344699938423
2003-07-01,0.0398,24.8673291012688,0.015324790737167,0.024888615211162,0.049151232024463
2003-08-01,0.0445,24.6422514099322,0.019918963440217,0.020661744197436,0.04986392073795
2003-09-01,0.0427,25.2436867526063,0.017998535283901,0.021615329750958,0.048061961055923
2003-10-01,0.0429,25.6827560705797,0.018731963614198,0.020204667534417,0.048309882762154
2003-11-01,0.043,25.9467982184201,0.019179350411987,0.019361050279535,0.050951445981843
2003-12-01,0.0427,26.6351705110815,0.018990387855612,0.018553955987952,0.049262203353878
2004-01-01,0.0415,27.6585403557366,0.017572137365703,0.018583060527543,0.045347647935747
2004-02-01,0.0408,27.6508620367402,0.016670311043644,0.019494926722589,0.044259838515705
2004-03-01,0.0383,26.8865303840359,0.013860825162652,0.023332519821488,0.048722280256295
2004-04-01,0.0435,26.9005775084449,0.018872431962327,0.018301491150888,0.047913877518051
2004-05-01,0.0472,25.9028142929438,0.022044016549469,0.016561827151168,0.052485493028403
2004-06-01,0.0473,26.4012853664749,0.022166179844735,0.015710763876719,0.052969389762605
2004-07-01,0.045,25.6958886462686,0.02030502288435,0.018611708650647,0.056798486103663
2004-08-01,0.0428,25.1744622264778,0.018464333870361,0.02125846103996,0.058056338623077
2004-09-01,0.0413,25.6684067763577,0.017022962447159,0.021935435271591,0.057161161741679
2004-10-01,0.041,25.4116556654893,0.016253429435128,0.023098591273939,0.055041188283036
2004-11-01,0.0419,26.4653108148181,0.017236758569191,0.020548552436494,0.056603561700773
2004-12-01,0.0423,27.1448086947412,0.018012910372734,0.018826546160026,0.054643338171426
2005-01-01,0.0422,26.5872506979704,0.018107533778799,0.019504478510849,0.055618116303462
2005-02-01,0.0417,26.7448631281012,0.017426501158833,0.019963856578661,0.0569519220247
2005-03-01,0.045,26.3391421310579,0.020267293413355,0.017699015247125,0.057477220687165
2005-04-01,0.0434,25.4089225691145,0.018318239229022,0.02103801435788,0.061481775762653
2005-05-01,0.0414,25.650230187183,0.016625852242549,0.022360152666666,0.06045840046688
2005-06-01,0.04,26.068394871884,0.015374933696467,0.022985694371145,0.057395619520779
2005-07-01,0.0418,26.2878710912548,0.016701798486242,0.021338558472625,0.055898816439845
2005-08-01,0.0426,26.1043814109362,0.017247015633589,0.021060729884605,0.053671331073349
2005-09-01,0.042,25.7301229901645,0.015602084234146,0.023262867961467,0.049968023993407
2005-10-01,0.0446,24.876538723648,0.018330205831518,0.021868312584125,0.057482359500423
2005-11-01,0.0454,25.931783309069,0.019890772581557,0.018671943606584,0.055801809035167
2005-12-01,0.0447,26.4438031142924,0.019539955108551,0.018276088055813,0.052329286893486
2006-01-01,0.0442,26.4687026266857,0.018860846019198,0.018919623016402,0.044469015754846
2006-02-01,0.0457,26.2496247635833,0.020485724292308,0.017610058371501,0.0440345535413
2006-03-01,0.0472,26.3278377786677,0.021947853690788,0.016034756518481,0.049073877031978
2006-04-01,0.0499,26.1472809438745,0.024173425753793,0.01407146870183,0.051563544330344
2006-05-01,0.0511,25.6506407087574,0.02506227990392,0.013923101060018,0.052168960402368
2006-06-01,0.0511,24.7495822416464,0.024925295291188,0.015479427109228,0.056040329891981
2006-07-01,0.0509,24.6967867668533,0.024618557097458,0.015872540365559,0.059195500626262
2006-08-01,0.0488,25.051393562011,0.022512946608595,0.017404992388477,0.058168687407555
2006-09-01,0.0472,25.6441564407974,0.021742880066336,0.01725235856858,0.054290515744344
2006-10-01,0.0473,26.5380402821017,0.022724363079177,0.014957394479781,0.049317312443854
2006-11-01,0.046,26.9280202708565,0.021770720599639,0.01536531799293,0.048497407917368
2006-12-01,0.0456,27.2826897875717,0.021218331956828,0.015434945553058,0.050449354769951
2007-01-01,0.0476,27.2075366568072,0.023228549948099,0.013525971882153,0.05093299693814
2007-02-01,0.0472,27.3151814135166,0.022603331930226,0.014006346214001,0.052173303801449
2007-03-01,0.0456,26.2276055546509,0.020330836699871,0.017796929020728,0.057514955366564
2007-04-01,0.0469,26.9762683141891,0.021094897758826,0.015974721669374,0.053400499961718
2007-05-01,0.0475,27.5484904518513,0.021005680372715,0.015293949247564,0.052206843600241
2007-06-01,0.051,27.4182627404106,0.024435090025699,0.012036950871558,0.053806547068824
2007-07-01,0.05,27.4100881672043,0.023589195879754,0.012893722157573,0.054284274856437
2007-08-01,0.0467,26.1486071893123,0.020669205443495,0.017573749248514,0.058569534818487
2007-09-01,0.0452,26.7257430476969,0.019141744025879,0.018275363450434,0.056832789146239
2007-10-01,0.0453,27.320648130462,0.019276774031333,0.017325578710256,0.056861010367949
2007-11-01,0.0415,25.7290535794984,0.01480542743344,0.024061140157559,0.06438278638473
2007-12-01,0.041,25.9555101052402,0.014247102412927,0.02428036231211,0.066090525626558
2008-01-01,0.0374,24.0223177608368,0.010328749096813,0.031299207454086,0.078491894040191
2008-02-01,0.0374,23.4952634018118,0.010221395149714,0.032340374978085,0.076858818213124
2008-03-01,0.0351,22.6068108422493,0.007224775220155,0.037009681686572,0.080486857466502
2008-04-01,0.0368,23.3560406432016,0.008493120757686,0.03432235534447,0.074425037507497
2008-05-01,0.0388,23.6964321166232,0.00982026705308,0.032380178781063,0.074248898963235
2008-06-01,0.041,22.4168128022819,0.011114488360973,0.033494886255306,0.082091352218718
2008-07-01,0.0401,20.9072064626616,0.009801315240992,0.038029082463547,0.091172768943964
2008-08-01,0.0389,21.4016173600479,0.009139432545228,0.037586008022024,0.091039868296919
2008-09-01,0.0369,20.3627339460975,0.007407878529814,0.041701440614025,0.098024277924336
2008-10-01,0.0381,16.3873565487898,0.009903676955847,0.051118977736673,0.11734462068573
2008-11-01,0.0353,15.2596594057046,0.009090152352,0.056442109765605,0.123287734930392
2008-12-01,0.0242,15.3760807474238,-0.001006050257603,0.066042129114535,0.116469797026003
2009-01-01,0.0252,15.1746519368797,-0.000201415086275,0.066100784914301,0.119903801413137
2009-02-01,0.0287,14.1221818019189,0.002914596214373,0.067895991981293,0.134197285615792
2009-03-01,0.0282,13.3236676568639,0.002476767917536,0.072577640954997,0.142702043146203
2009-04-01,0.0293,14.9818664530392,0.00406419380796,0.062683163948466,0.133328958535574
2009-05-01,0.0329,15.9963557552632,0.007368411692881,0.055145826881175,0.124400775408977
2009-06-01,0.0372,16.3841828162153,0.010790877852663,0.050243597361463,0.123735317107595
2009-07-01,0.0356,16.6946208169956,0.009661968749083,0.050237564816961,0.126172857940278
2009-08-01,0.0359,18.0940698015761,0.009978004777293,0.045288721336082,0.114122875611868
2009-09-01,0.034,18.8319022648401,0.008503760554992,0.04459761953591,0.113502545716296
2009-10-01,0.0339,19.3580084434868,0.00848810884367,0.043170097780187,0.110730973591518
2009-11-01,0.034,19.8127610799661,0.008576506306923,0.041896014709402,0.113393936058626
2009-12-01,0.0359,20.3223765002165,0.010657246995293,0.038549596504991,0.113569011998597
2010-01-01,0.0373,20.5278598014544,0.012011605625812,0.036702678750251,0.115686929524201
2010-02-01,0.0369,19.9205393066004,0.012191500058304,0.038007944073646,0.118834222474014
2010-03-01,0.0373,21.0046012097153,0.013012908171951,0.034595708150527,0.089995831852773
2010-04-01,0.0385,21.8048455996251,0.014094961212099,0.031766404576118,0.091157985758824
2010-05-01,0.0342,20.4800686384234,0.009835113438607,0.038992847915188,0.104174367816515
