month,factor,return
2008-08-01,hml_ru,0.025293999999999997
2008-09-01,hml_ru,-0.12547
2008-10-01,hml_ru,-0.132966
2008-11-01,hml_ru,0.19084
2008-12-01,hml_ru,0.038161
2009-01-01,hml_ru,-0.10305999999999998
2009-02-01,hml_ru,-0.11532
2009-03-01,hml_ru,0.052362
2009-04-01,hml_ru,0.214472
2009-05-01,hml_ru,0.140411
2009-06-01,hml_ru,0.037465
2009-07-01,hml_ru,0.06758700000000001
2009-08-01,hml_ru,0.07044
2009-09-01,hml_ru,0.030177999999999996
2009-10-01,hml_ru,-0.01302
2009-11-01,hml_ru,-0.08388899999999999
2009-12-01,hml_ru,0.071768
2010-01-01,hml_ru,0.014332000000000001
2010-02-01,hml_ru,0.015674999999999998
2010-03-01,hml_ru,0.10525000000000001
2010-04-01,hml_ru,0.008055
2010-05-01,hml_ru,-0.024631
2010-06-01,hml_ru,-0.062252
2010-07-01,hml_ru,-0.013592
2010-08-01,hml_ru,-0.009123
2010-09-01,hml_ru,-0.024114
2010-10-01,hml_ru,-0.07580300000000001
2010-11-01,hml_ru,-0.023854
2010-12-01,hml_ru,-0.056874
2011-01-01,hml_ru,0.037134
2011-02-01,hml_ru,0.033309000000000005
2011-03-01,hml_ru,0.009356999999999999
2011-04-01,hml_ru,0.008844
2011-05-01,hml_ru,-0.031272
2011-06-01,hml_ru,-0.02088
2011-07-01,hml_ru,0.009301
2011-08-01,hml_ru,-0.004876
2011-09-01,hml_ru,-0.032863
2011-10-01,hml_ru,0.021583
2011-11-01,hml_ru,0.027195999999999998
2011-12-01,hml_ru,0.011833
2012-01-01,hml_ru,0.026309
2012-02-01,hml_ru,0.01892
2012-03-01,hml_ru,-0.018651
2012-04-01,hml_ru,-0.014437
2012-05-01,hml_ru,-0.016021
2012-06-01,hml_ru,-0.014107000000000001
2012-07-01,hml_ru,-0.031669
2012-08-01,hml_ru,0.021417000000000002
2012-09-01,hml_ru,0.039132
2012-10-01,hml_ru,-0.002187
2012-11-01,hml_ru,0.005261
2012-12-01,hml_ru,-0.049447
2013-01-01,hml_ru,-0.012475
2013-02-01,hml_ru,-0.03256
2013-03-01,hml_ru,-0.005265
2013-04-01,hml_ru,-0.067886
2013-05-01,hml_ru,-0.042133000000000004
2013-06-01,hml_ru,-0.021974
2013-07-01,hml_ru,0.106797
2013-08-01,hml_ru,0.012361
2013-09-01,hml_ru,-0.039646
2013-10-01,hml_ru,-0.021171000000000002
2013-11-01,hml_ru,-0.016247
2013-12-01,hml_ru,-0.023751
2014-01-01,hml_ru,0.014669000000000001
2014-02-01,hml_ru,-0.041113
2014-03-01,hml_ru,0.026111
2014-04-01,hml_ru,-0.006236
2014-05-01,hml_ru,0.026864
2014-06-01,hml_ru,-0.051681
2014-07-01,hml_ru,-0.015154
2014-08-01,hml_ru,0.033077999999999996
2014-09-01,hml_ru,0.009441
2014-10-01,hml_ru,-0.035698
2014-11-01,hml_ru,0.020419
2014-12-01,hml_ru,0.0018520000000000001
2015-01-01,hml_ru,-0.101961
2015-02-01,hml_ru,0.036201
2015-03-01,hml_ru,-0.009768
2015-04-01,hml_ru,0.11049400000000001
2015-05-01,hml_ru,0.013654999999999999
2015-06-01,hml_ru,0.029152
2015-07-01,hml_ru,-0.08407400000000001
2015-08-01,hml_ru,-0.065106
2015-09-01,hml_ru,0.034108
2015-10-01,hml_ru,0.047950999999999994
2015-11-01,hml_ru,-0.053273
2015-12-01,hml_ru,0.025921
2016-01-01,hml_ru,0.026527
2016-02-01,hml_ru,0.03427
2016-03-01,hml_ru,0.037049
2016-04-01,hml_ru,-0.022315
2016-05-01,hml_ru,-0.025394999999999997
2016-06-01,hml_ru,0.037084
2016-07-01,hml_ru,-0.053686
2016-08-01,hml_ru,-0.010615000000000001
2016-09-01,hml_ru,-0.006448000000000001
2016-10-01,hml_ru,-0.022671999999999998
2016-11-01,hml_ru,0.052952000000000006
2016-12-01,hml_ru,-2.4400000000000002e-4
2017-01-01,hml_ru,0.033089
2017-02-01,hml_ru,-0.04206000000000001
2017-03-01,hml_ru,-0.009339
2017-04-01,hml_ru,0.020675
2017-05-01,hml_ru,0.015503
2017-06-01,hml_ru,-0.035962
2017-07-01,hml_ru,0.008848
2017-08-01,hml_ru,0.015364
2017-09-01,hml_ru,0.00555
2017-10-01,hml_ru,0.003933
2017-11-01,hml_ru,0.004794
2017-12-01,hml_ru,-0.024373999999999996
2018-01-01,hml_ru,0.023248
2018-02-01,hml_ru,0.010143
2018-03-01,hml_ru,-0.008801999999999999
2018-04-01,hml_ru,-0.013086
2018-05-01,hml_ru,-0.030972
2018-06-01,hml_ru,-0.026558000000000002
2018-07-01,hml_ru,-0.016265
2018-08-01,hml_ru,-0.068513
2018-09-01,hml_ru,0.031598
2018-10-01,hml_ru,0.006686
2018-11-01,hml_ru,-0.041234
2018-12-01,hml_ru,-0.034028
2019-01-01,hml_ru,0.032743
2019-02-01,hml_ru,-0.01413
2019-03-01,hml_ru,-0.023180999999999997
2019-04-01,hml_ru,0.004613
2019-05-01,hml_ru,0.097104
2019-06-01,hml_ru,0.053706
2019-07-01,hml_ru,-0.008662
2019-08-01,hml_ru,-0.033893
2019-09-01,hml_ru,0.09346199999999999
2019-10-01,hml_ru,0.090053
2019-11-01,hml_ru,0.038002
2019-12-01,hml_ru,0.009593
2020-01-01,hml_ru,-0.027646999999999998
2020-02-01,hml_ru,-0.038925999999999995
2020-03-01,hml_ru,-0.126822
2020-04-01,hml_ru,-0.007608
2005-01-01,liq_ru,0.087471
2005-02-01,liq_ru,0.062817
2005-03-01,liq_ru,0.102655
2005-04-01,liq_ru,0.017944
2005-05-01,liq_ru,0.07278
2005-06-01,liq_ru,0.020343
2005-07-01,liq_ru,0.016656
2005-08-01,liq_ru,0.099467
2005-09-01,liq_ru,-0.030667
2005-10-01,liq_ru,0.026467
2005-11-01,liq_ru,-0.024123000000000002
2005-12-01,liq_ru,0.018183
2006-01-01,liq_ru,-0.006853000000000001
2006-02-01,liq_ru,0.023006000000000002
2006-03-01,liq_ru,0.073335
2006-04-01,liq_ru,-0.144595
2006-05-01,liq_ru,0.052691999999999996
2006-06-01,liq_ru,-0.079592
2006-07-01,liq_ru,-0.032701
2006-08-01,liq_ru,0.028523
2006-09-01,liq_ru,0.026829000000000002
2006-10-01,liq_ru,0.043524
2006-11-01,liq_ru,-0.024188
2006-12-01,liq_ru,0.018626
2007-01-01,liq_ru,0.054344
2007-02-01,liq_ru,0.107627
2007-03-01,liq_ru,-0.048073
2007-04-01,liq_ru,0.032827999999999996
2007-05-01,liq_ru,0.059066
2007-06-01,liq_ru,-0.043437
2007-07-01,liq_ru,0.028068
2007-08-01,liq_ru,0.029283999999999998
2007-09-01,liq_ru,-0.044624
2007-10-01,liq_ru,-0.027681
2007-11-01,liq_ru,0.076336
2007-12-01,liq_ru,-0.002461
2008-01-01,liq_ru,0.10294600000000001
2008-02-01,liq_ru,-0.06665199999999999
2008-03-01,liq_ru,-0.028262
2008-04-01,liq_ru,-0.038473
2008-05-01,liq_ru,-0.087673
2008-06-01,liq_ru,6.34e-4
2008-07-01,liq_ru,0.05256
2008-08-01,liq_ru,0.008683999999999999
2008-09-01,liq_ru,0.045955
2008-10-01,liq_ru,0.06356
2008-11-01,liq_ru,9.94e-4
2008-12-01,liq_ru,-0.027201
2009-01-01,liq_ru,-0.020066999999999998
2009-02-01,liq_ru,0.03281
2009-03-01,liq_ru,-0.059479
2009-04-01,liq_ru,-0.154586
2009-05-01,liq_ru,-0.047695
2009-06-01,liq_ru,0.051563
2009-07-01,liq_ru,-0.040345000000000006
2009-08-01,liq_ru,0.050113000000000005
2009-09-01,liq_ru,-0.01936
2009-10-01,liq_ru,0.020045
2009-11-01,liq_ru,-0.01341
2009-12-01,liq_ru,-0.023984000000000002
2010-01-01,liq_ru,0.035487000000000005
2010-02-01,liq_ru,0.051165
2010-03-01,liq_ru,0.001131
2010-04-01,liq_ru,0.041382
2010-05-01,liq_ru,0.030565000000000002
2010-06-01,liq_ru,0.023378999999999997
2010-07-01,liq_ru,-0.060647
2010-08-01,liq_ru,0.016814
2010-09-01,liq_ru,-0.007261
2010-10-01,liq_ru,-0.042185
2010-11-01,liq_ru,0.035151
2010-12-01,liq_ru,0.060694
2011-01-01,liq_ru,-0.054082
2011-02-01,liq_ru,-0.0034839999999999997
2011-03-01,liq_ru,-0.055799
2011-04-01,liq_ru,0.028441
2011-05-01,liq_ru,0.027762
2011-06-01,liq_ru,-0.016002000000000002
2011-07-01,liq_ru,-0.003418
2011-08-01,liq_ru,0.028158
2011-09-01,liq_ru,0.080692
2011-10-01,liq_ru,-0.102754
2011-11-01,liq_ru,-0.019884
2011-12-01,liq_ru,0.008783
2012-01-01,liq_ru,-0.011144000000000001
2012-02-01,liq_ru,-0.002071
2012-03-01,liq_ru,0.055803000000000005
2012-04-01,liq_ru,-0.004927
2012-05-01,liq_ru,0.029928
2012-06-01,liq_ru,-0.035964
2012-07-01,liq_ru,0.006313
2012-08-01,liq_ru,0.026495
2012-09-01,liq_ru,-0.018216
