month-01,cape_excess_yield
1914-09-01,0.0742023231
1914-10-01,0.0721227474
1914-11-01,0.071602652
1914-12-01,0.0737548259
1915-01-01,0.0719078236
1915-02-01,0.071334718
1915-03-01,0.068208639
1915-04-01,0.0637034237
1915-05-01,0.0690169539
1915-06-01,0.0681400421
1915-07-01,0.0686261536
1915-08-01,0.0639592409
1915-09-01,0.062216272
1915-10-01,0.0598142127
1915-11-01,0.0578887196
1915-12-01,0.0567696487
1916-01-01,0.0599867916
1916-02-01,0.0610557998
1916-03-01,0.0630635914
1916-04-01,0.0657487226
1916-05-01,0.0645796203
1916-06-01,0.0655912552
1916-07-01,0.070364501
1916-08-01,0.0692554634
1916-09-01,0.0683081138
1916-10-01,0.0670314889
1916-11-01,0.0675216133
1916-12-01,0.0718120503
1917-01-01,0.0770000618
1917-02-01,0.0855316697
1917-03-01,0.0837977454
1917-04-01,0.0954048914
1917-05-01,0.1003078441
1917-06-01,0.1004467065
1917-07-01,0.1003175412
1917-08-01,0.10721879
1917-09-01,0.1184226442
1917-10-01,0.1282208558
1917-11-01,0.1449824367
1917-12-01,0.1563399992
1918-01-01,0.1541154491
1918-02-01,0.1528923566
1918-03-01,0.1543629176
1918-04-01,0.158549154
1918-05-01,0.159370491
1918-06-01,0.1628850485
1918-07-01,0.1676420933
1918-08-01,0.1714794979
1918-09-01,0.1775520576
1918-10-01,0.1748179518
1918-11-01,0.1746379741
1918-12-01,0.1799828351
1919-01-01,0.1821311333
1919-02-01,0.1749565207
1919-03-01,0.1729319075
1919-04-01,0.1698149747
1919-05-01,0.1611409584
1919-06-01,0.1556552693
1919-07-01,0.1577288212
1919-08-01,0.1706409636
1919-09-01,0.1679234143
1919-10-01,0.1619225775
1919-11-01,0.170285577
1919-12-01,0.1788410589
1920-01-01,0.1863420962
1920-02-01,0.2036970333
1920-03-01,0.19179384
1920-04-01,0.2000270235
1920-05-01,0.2176673789
1920-06-01,0.2257060923
1920-07-01,0.2236472675
1920-08-01,0.2243164347
1920-09-01,0.2132697127
1920-10-01,0.2139375631
1920-11-01,0.2236893806
1920-12-01,0.2353400609
1921-01-01,0.2192079629
1921-02-01,0.2141431784
1921-03-01,0.2160920578
1921-04-01,0.2152085818
1921-05-01,0.2029534232
1921-06-01,0.2164477504
1921-07-01,0.2172313713
1921-08-01,0.2158515787
1921-09-01,0.2064012363
1921-10-01,0.2036068699
1921-11-01,0.1935377083
1921-12-01,0.1869675232
1922-01-01,0.1795195618
1922-02-01,0.1740801068
1922-03-01,0.1624325731
1922-04-01,0.1501186002
1922-05-01,0.1442706925
1922-06-01,0.145879818
1922-07-01,0.1456932746
1922-08-01,0.1364824358
1922-09-01,0.131706425
1922-10-01,0.1298924866
1922-11-01,0.1369059804
1922-12-01,0.1390405134
1923-01-01,0.1344148699
1923-02-01,0.1292158155
1923-03-01,0.1272114755
1923-04-01,0.1325894359
1923-05-01,0.1394810836
1923-06-01,0.1446254893
1923-07-01,0.1508203145
1923-08-01,0.1487019019
1923-09-01,0.1482108553
1923-10-01,0.1516527076
1923-11-01,0.1467063621
1923-12-01,0.1435374023
1924-01-01,0.1396233589
1924-02-01,0.1388761965
1924-03-01,0.1400079261
1924-04-01,0.1427333486
1924-05-01,0.1422100074
1924-06-01,0.1399872918
1924-07-01,0.1348788781
1924-08-01,0.1276893074
1924-09-01,0.1302879751
1924-10-01,0.1343520172
1924-11-01,0.1272151759
1924-12-01,0.1239289192
1925-01-01,0.1198628709
1925-02-01,0.1190010285
1925-03-01,0.1241625013
1925-04-01,0.1231034037
1925-05-01,0.1200769853
1925-06-01,0.1207337279
1925-07-01,0.1203679012
1925-08-01,0.1190595223
1925-09-01,0.1168386461
1925-10-01,0.1127116398
1925-11-01,0.1121687069
1925-12-01,0.1095786522
1926-01-01,0.1071766661
1926-02-01,0.1070847533
1926-03-01,0.1113169892
1926-04-01,0.1140362194
1926-05-01,0.1111074655
1926-06-01,0.1045609564
1926-07-01,0.0985973903
1926-08-01,0.0931367709
1926-09-01,0.0908304118
1926-10-01,0.0915290188
1926-11-01,0.0893674772
1926-12-01,0.0863476605
1927-01-01,0.0835210825
1927-02-01,0.0778098449
1927-03-01,0.075133225
1927-04-01,0.0678553773
1927-05-01,0.0644682565
1927-06-01,0.0635362901
1927-07-01,0.060442435
1927-08-01,0.0543518219
1927-09-01,0.0494303991
1927-10-01,0.0493993387
1927-11-01,0.0469483741
1927-12-01,0.0439260427
1928-01-01,0.0412646378
1928-02-01,0.0389500269
1928-03-01,0.0365953529
1928-04-01,0.0318237153
1928-05-01,0.0288254909
1928-06-01,0.028629213
1928-07-01,0.0253000928
1928-08-01,0.0216024904
1928-09-01,0.0181212946
1928-10-01,0.0143450798
1928-11-01,0.0096446681
1928-12-01,0.007326401
1929-01-01,0.004501454
1929-02-01,0.0065369906
1929-03-01,0.0042490484
1929-04-01,0.002239542
1929-05-01,0.0017264044
1929-06-01,0.0022656305
1929-07-01,-0.001618583
1929-08-01,-0.0047089853
1929-09-01,-0.0060695163
1929-10-01,-0.003656227
1929-11-01,0.0071336923
1929-12-01,0.002900008
1930-01-01,-0.0001082264
1930-02-01,-0.0043688622
1930-03-01,-0.0075243722
