date	total_return_net_index
2017-10-12	2973.03
2017-10-13	2978.43
2017-10-16	2989.25
2017-10-17	2969.63
2017-10-18	2975.38
2017-10-19	2944.59
2017-10-20	2943.31
2017-10-23	2931.92
2017-10-24	2929.05
2017-10-25	2911.56
2017-10-26	2907.6
2017-10-27	2938.95
2017-10-30	2933.96
2017-10-31	2932.63
2017-11-01	2958.8
2017-11-02	2945.03
2017-11-03	2956.55
2017-11-07	3062.25
2017-11-08	3072.85
2017-11-09	3102.11
2017-11-10	3081.73
2017-11-13	3079.41
2017-11-14	3078.27
2017-11-15	3028.44
2017-11-16	3029.72
2017-11-17	3028.66
2017-11-20	3026.51
2017-11-21	3062.63
2017-11-22	3068.8
2017-11-23	3052.32
2017-11-24	3070.23
2017-11-27	3048.5
2017-11-28	3053.58
2017-11-29	3017.54
2017-11-30	2984.21
2017-12-01	2991.84
2017-12-04	3012.36
2017-12-05	3004.22
2017-12-06	3019.04
2017-12-07	2989.88
2017-12-08	2992.49
2017-12-11	3054.49
2017-12-12	3071.76
2017-12-13	3030.8
2017-12-14	3060.1
2017-12-15	3048.47
2017-12-18	3035.53
2017-12-19	3012.18
2017-12-20	2990.58
2017-12-21	2992.21
2017-12-22	3005.87
2017-12-25	3009.02
2017-12-26	2997.54
2017-12-27	3010.61
2017-12-28	3005.92
2017-12-29	3015.71
2018-01-03	3077.5
2018-01-04	3141.3
2018-01-05	3156.71
2018-01-09	3182.42
2018-01-10	3192.26
2018-01-11	3212.54
2018-01-12	3235.32
2018-01-15	3234.1
2018-01-16	3228.9
2018-01-17	3257.5
2018-01-18	3285.5
2018-01-19	3269.57
2018-01-22	3301.43
2018-01-23	3287.61
2018-01-24	3299.11
2018-01-25	3317.76
2018-01-26	3282.34
2018-01-29	3266.62
2018-01-30	3261.03
2018-01-31	3274.8
2018-02-01	3292.79
2018-02-02	3263.15
2018-02-05	3256.01
2018-02-06	3200.8
2018-02-07	3224.25
2018-02-08	3185.07
2018-02-09	3141.99
2018-02-12	3174.88
2018-02-13	3218.51
2018-02-14	3228.98
2018-02-15	3239.71
2018-02-16	3225.15
2018-02-19	3224.65
2018-02-20	3246.39
2018-02-21	3318.17
2018-02-22	3341.77
2018-02-26	3365.14
2018-02-27	3349.02
2018-02-28	3284.54
2018-03-01	3286.11
2018-03-02	3273.16
2018-03-05	3302.74
2018-03-06	3293.86
2018-03-07	3276.57
2018-03-09	3306.03
2018-03-12	3315.06
2018-03-13	3317.02
2018-03-14	3253.9
2018-03-15	3249.96
2018-03-16	3281.58
2018-03-19	3263.16
2018-03-20	3276.69
2018-03-21	3302.69
2018-03-22	3268.94
2018-03-23	3268.61
2018-03-26	3204.71
2018-03-27	3235.68
2018-03-28	3216.7
2018-03-29	3253.01
2018-03-30	3247.8
2018-04-02	3227.3
2018-04-03	3237.61
2018-04-04	3240.11
2018-04-05	3283.94
2018-04-06	3262.46
2018-04-09	2990.24
2018-04-10	3108.77
2018-04-11	3135.07
2018-04-12	3160.67
2018-04-13	3110.77
2018-04-16	3065.73
2018-04-17	3133.69
2018-04-18	3205.63
2018-04-19	3189.98
2018-04-20	3193
2018-04-23	3219.22
2018-04-24	3223.19
2018-04-25	3222.81
2018-04-26	3269.31
2018-04-27	3291.44
2018-04-28	3285.45
2018-04-30	3299.35
2018-05-02	3300.23
2018-05-03	3253.94
2018-05-04	3275.98
2018-05-07	3286.93
2018-05-08	3293.9
2018-05-10	3310.36
2018-05-11	3356.65
2018-05-14	3376.42
2018-05-15	3346.94
2018-05-16	3348.88
2018-05-17	3327.57
2018-05-18	3332.49
2018-05-21	3340.63
2018-05-22	3332.38
2018-05-23	3287.56
2018-05-24	3285.33
2018-05-25	3303.31
2018-05-28	3310.34
2018-05-29	3291.32
2018-05-30	3290.75
2018-05-31	3299.45
2018-06-01	3293.69
2018-06-04	3334.3
2018-06-05	3326.54
2018-06-06	3322.55
2018-06-07	3323.6
2018-06-08	3255.42
2018-06-09	3274.92
2018-06-11	3261.46
2018-06-13	3260.01
2018-06-14	3235.24
2018-06-15	3212.34
2018-06-18	3194.06
2018-06-19	3194.95
2018-06-20	3245.07
2018-06-21	3230.21
2018-06-22	3236.01
2018-06-25	3240.84
2018-06-26	3232.7
2018-06-27	3265.4
2018-06-28	3260.57
2018-06-29	3329.24
2018-07-02	3363.44
2018-07-03	3337.83
2018-07-04	3341.33
2018-07-05	3409.81
2018-07-06	3414.23
2018-07-09	3454.69
2018-07-10	3456
2018-07-11	3413.6
2018-07-12	3397.98
2018-07-13	3433.64
2018-07-16	3425.08
2018-07-17	3391.96
2018-07-18	3394.88
2018-07-19	3357.41
2018-07-20	3325.64
2018-07-23	3345.51
2018-07-24	3370.74
2018-07-25	3377.45
2018-07-26	3392.59
2018-07-27	3392.07
2018-07-30	3396.51
2018-07-31	3434.07
2018-08-01	3425.3
2018-08-02	3395.66
2018-08-03	3399.87
2018-08-06	3402.66
2018-08-07	3420.88
2018-08-08	3392.5
2018-08-09	3417.01
2018-08-10	3368.99
2018-08-13	3387.27
2018-08-14	3383.23
2018-08-15	3359.88
2018-08-16	3350.93
2018-08-17	3342.08
2018-08-20	3367.83
2018-08-21	3396.39
2018-08-22	3404.24
2018-08-23	3349.38
2018-08-24	3378.6
2018-08-27	3427.76
2018-08-28	3432.72
2018-08-29	3480.38
2018-08-30	3454.42
2018-08-31	3476.55
2018-09-03	3476.89
2018-09-04	3462.51
2018-09-05	3440.21
2018-09-06	3439.78
2018-09-07	3441.51
2018-09-10	3462.31
2018-09-11	3461.33
2018-09-12	3469.39
2018-09-13	3494.13
2018-09-14	3498.49
2018-09-17	3518.48
2018-09-18	3561.22
2018-09-19	3563.94
2018-09-20	3558.71
2018-09-21	3597.12
2018-09-24	3604.2
2018-09-25	3625.28
2018-09-26	3600.17
2018-09-27	3670.29
2018-09-28	3682.51
2018-10-01	3677.84
2018-10-02	3644.34
2018-10-03	3710.11
2018-10-04	3667.14
2018-10-05	3646.12
2018-10-08	3657.93
2018-10-09	3644.16
2018-10-10	3605.18
2018-10-11	3538.18
2018-10-12	3597.36
2018-10-15	3576.45
2018-10-16	3618.68
2018-10-17	3610.78
2018-10-18	3561.67
2018-10-19	3511.01
2018-10-22	3456.76
2018-10-23	3452.3
2018-10-24	3498.59
2018-10-25	3491.25
2018-10-26	3433.79
2018-10-29	3469.49
2018-10-30	3443.92
2018-10-31	3522.87
2018-11-01	3532.79
2018-11-02	3560.67
2018-11-06	3612.12
2018-11-07	3661.57
2018-11-08	3651.51
2018-11-09	3598.88
2018-11-12	3584.41
2018-11-13	3556.16
2018-11-14	3561.62
2018-11-15	3565.91
2018-11-16	3552.76
2018-11-19	3554.42
2018-11-20	3506.24
2018-11-21	3530.75
2018-11-22	3548.06
2018-11-23	3508.29
2018-11-26	3456.67
2018-11-27	3501.91
2018-11-28	3565.41
2018-11-29	3591.53
2018-11-30	3582.45
2018-12-03	3657.63
2018-12-04	3660.91
2018-12-05	3664.17
2018-12-06	3614.36
2018-12-07	3642.8
2018-12-10	3591.18
2018-12-11	3587.32
2018-12-12	3551.49
2018-12-13	3563.7
2018-12-14	3544.51
2018-12-17	3536.18
2018-12-18	3522.93
2018-12-19	3535.36
2018-12-20	3538.95
2018-12-21	3530.36
2018-12-24	3492.91
2018-12-25	3446.02
2018-12-26	3473.08
2018-12-27	3501.6
2018-12-28	3547.76
2018-12-29	3564.05
2019-01-03	3573.49
2019-01-04	3619.97
2019-01-08	3602.41
2019-01-09	3639.25
2019-01-10	3670.08
2019-01-11	3685.61
2019-01-14	3679.13
2019-01-15	3678.22
2019-01-16	3670.76
2019-01-17	3690.42
2019-01-18	3729.58
2019-01-21	3721.5
2019-01-22	3722.22
2019-01-23	3756.54
2019-01-24	3743.3
2019-01-25	3766.7
2019-01-28	3734.4
2019-01-29	3766.88
2019-01-30	3787.25
2019-01-31	3801.18
2019-02-01	3802.82
2019-02-04	3805.57
2019-02-05	3841.38
2019-02-06	3830.01
2019-02-07	3785.01
2019-02-08	3774.35
2019-02-11	3785.51
2019-02-12	3820.35
2019-02-13	3748.62
2019-02-14	3711.01
2019-02-15	3755.26
2019-02-18	3728.49
2019-02-19	3707.59
2019-02-20	3751.73
2019-02-21	3725.2
2019-02-22	3752.95
2019-02-25	3762
2019-02-26	3761.08
2019-02-27	3756
2019-02-28	3747.88
2019-03-01	3736.94
2019-03-04	3730.57
2019-03-05	3719.17
2019-03-06	3761.11
2019-03-07	3734.87
2019-03-11	3718.73
2019-03-12	3722.22
2019-03-13	3725.78
2019-03-14	3706.44
